headline,content,url,category
Wielki wrog Rosji prezy muskuly swoimi poteznymi maszynami,japonski sila samoobric zorganizowac zakroic szeroki skala cwiczenie udzial swoj potezniejy maszyna transportowy pionowy start armia chciec sposob wyslac wymowny wiado,"https://geekweek.interia.pl/militaria/news-wielki-wrog-rosji-prezy-muskuly-swoimi-poteznymi-maszynami,nId,7836471",militaria
Yingluck Shinawatra byla premier Tajlandii pojdzie do wiezienia Grozi jej  lat,sad najwyzszy postan marzec zajac ten sprawa ramy rzadowy program dotacja rolnik placyc ryz powyzej cena rynkowy program kosztowac panstwo rownowartosc miliard dolar prokuratura generalny tajlandia oskarzyc czwartek byla premier yingluck shinawatra zaniedbac sprawa rzadowy program dotacja plantator ryzu odsunietej rok wladza polityka grozic rok wiezienie sad najwyzszy postan marzec zajac ten sprawa ramy rzadowy program dotacja rolnik placyc ryz powyzej cena rynkowy program kosztowac panstwo rownowartosc miliard dolar rzadzaca tajlandia junt rozwazac takze wszczecie cywilny postepowanie przeciwko byly premier by zwiazek subsydi domagac zwrocic panstwo rownowartosc okolo miliard usd yingluck pierwszy kobieta premier historia tajlandia zostac pozbawic wladza trybunal konstytucyjny zwiazek naduzywac wladza naruszec ustawa zasadniczy kilka dzien przeprowadzeen armia bezkrwawy zamach stan maj rok dojsc miesiac ulicznych demonstracja okupowac protestowac budynek rzadowy poczatek styczen biezacy rok yingluck otrzymac piecioletni zakaz dzialalnosc polityczny gdy parlament uznac winny zaniedbanie zwiazek dotacja plantator ryz czwartek byly premier byc sad najwyzszym bangkok,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/yingluck-shinawatra-byla-premier-tajlandii,16,0,1716752.html",militaria
Wolnosc slowa na Kubie Zatrzymano dwoch znanych opozycjonistow,komentowac reuters pierwszy przypadek zatrzymac znaczacy dysydent odkad kuba usa zgodzic nawiazac ponownie stosunki dyplomatyczny znany kubansky dysydentka yoani sanchez zdjecie poinformowac policja zatrzymac maz reinaldo escobara inny opozycjonista eliecerac aila wedlug elizard sanchez rowniez lider opozycja yoani sanchez przetrzymywac areszt domowy zabierac moj maz aila skutych kajdanka samochod policyjny    napisac twitterz yoani sanchez ktory tez niezalezny blogerka dziennikarka escobar redaktor dysydencki portal informacyjny ymediocom aila przewodzic opozycyjny ugrupowac somos masa komentowac reuters pierwszy przypadek zatrzymac znaczacy dysydent odkad kuba usa zgodzic nawiazac ponownie stosunki dyplomatyczny rzadowy zrodlo raz potwierdzic informacja zatrzymac escobar aic dziennikarz reuter udac tez porozumiec yoani sanchez wedlug elizard sancheza spokrewniic yoac zostac zatrzymac policja wlasny mieszkanie reuters zwracac uwaga dysydent zatrzymac kilka godzina demonstracja ktory plac rewolucja hawanie miec zorganizowac kubanski performerka tani bruguer kubanski wladza udzielic zezwolenie ten manifestacja artystka zapowiedziec protest odbyc grudzien waszyngton hawac poinformowac nawiaza,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/wolnosc-slowa-na-kubie-zatrzymano-dwoch,158,0,1685406.html",militaria
Kraj z konca swiata wyslal na Ukraine potezne wozy bojowe,Stany Zjednoczone oglosic nowy pakiet wsparcie militarn ukraina wsrod nowy sprzet pojawic chwalyc ukraincow potezny amerykanski woz bojowy piechota ods bradley,"https://geekweek.interia.pl/militaria/news-kraj-z-konca-swiata-wyslal-na-ukraine-potezne-wozy-bojowe,nId,7776274",militaria
Wybory na Ukrainie Barroso i an Rompuy o ich wynikach,wybory parlamentarny ukraina byc zwyciestwo ukraincow demokracja oswiadczyc szef ke jose barroso przewodniczacy rada europejski herman an rompuy ocenic wynik wskazywac potrzeba znaleziec szerokiy porozumienie    czekac utworzyc nowy rzad rezultat wybory podstawa szeroki porozumienie narodowy by zintensyfikowac wiele potrzebny gospodarczy polityczny reforma ukraina    napisac poniedzialkowy wspolny oswiadczenie liderza UE zwrocic uwaga dobry ocena proces glosowac obwe ktory uznac wybory byc zgodny norma demokratyczny barroso an rompuy stwierdzic wazny krok droga wzmacniac demokratyczny standard zgodnie ukrainski zobowiazanie    ozywiec proces reforma rozpoczac ogolnonarodowy dialog byc kluczowy kontekst stowarzyszenie polityczny integracja gospodarczy UE umacniac jednosc ukraina spojnosc wewnetrzny    wskazac polityk podkreslic waga przeprowadzic zgodnie prawo ukrainski zblizac przedterminowych wybory lokalny donbas napisac cel tez powinien deeskalacja konflikt skupiec reform dialog miedzy rzad ukraina demokratyczc wybrany przedstawiciel spoleczenstwo szef parlament europejski martin schulz oswiadczyc podroz ktory zaczac demokratyczny opor majdana doprowadzic wybor nowy prezydent parlament teraz zakonczyc wskazac,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/wybory-na-ukrainie-barroso-i-van-rompuy-o,207,0,1647055.html",militaria
Korea Polnocna ma bron ktora zmienia zasady gry w Azji,korea polnocny mocno wsprzec rosja militarnie wojna ukraina teraz kraj kto dzong una otrzymac bron ktory zmieniac zasada gra tylko stosunek poludniowy sasiad rowniez,"https://geekweek.interia.pl/militaria/news-korea-polnocna-ma-bron-ktora-zmienia-zasady-gry-w-azji,nId,7768987",militaria
Demonstracja chuliganow przeciw islamistom w Niemczech,pod silny ochrona policja tysiac okreslajacych jako chuligany niemiecki kibic pilkarski demonstrowac poludnie kolonia pod silny ochrona policja tysiac okreslajacych jako chuligany hooligansa niemiecki kibic pilkarski demonstrowac poludnie kolonia przeciwko islamist poinformowac agencja dpaa wedlug reporter skladac kibic rozny klub tlum panowac agresywny nastroj skandowac okrzyk cudzoziemiec won podac policja poblize dworzec glowny odpalic petard zorganizowac sam czas kontrdemonstracja wziac udzial czlowiek dzialalnosc miec kontakt prawicowy ekstremist ugrupowac chuligany przeciwko salafit uwaznie obserwowac sluzba ochrona porzadek konstytucyjny niedzielny demonstracja swoj zaniepokojenie ten impreza wyrazic socjaldemokratyczny krajowy premier polnocny nadreniiwestfalia hannelore kraft szef federalny urzad ochrona konstytucja bf hansgeorg maassen poinformowac sobotni rozmowa berlinski radio publiczny inforadio niemczech przebywac tysiac muzulman nalezec radykalny ruch salafita koniec biezacy rok liczba ten wzrosnac nawet tysiac przypomniec jeszcze trzy rok temu sluzba dysponowac informacja tysiac mieszkac niemczech radykalny muzulmana wladza niemcy oceniac niemiecki salafita wyjechac kraj dolaczyc dzihadysta walczacych syria irak,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/demonstracja-chuliganow-przeciw-islamistom-w,172,0,1646508.html",militaria
Skopiowali drony USA i sie tym chwala Kim Dzong Un zachwycony,kto dzong un osobiscie sprawdzic gotowosc bojowy nowy polnocnokoreanski dron ktory dziwny zbiegie okolicznosc wygladac zupelnie amerykanski model reaper rb global hawk wygl,"https://geekweek.interia.pl/militaria/news-skopiowali-drony-usa-i-sie-tym-chwala-kim-dzong-un-zachwycon,nId,7272565",militaria
Wojna na Ukrainie Tusk Koniec zludzen czas na wzmocnienie polityki,szef rada europejski rozmawiac prezydent ukraina zrobic wspolnota miedzynarodowy oblicze nasilenie przemoc wschod ukraina szef rada europejski Donald Tusk poinformowac sobota odbyc pilny telefoniczny rozmowa prezydent ukraina petr poroszenka zrobic wspolnota miedzynarodowy oblicze nasilenie przemoc wschod ukraina    raz kolejny polityka ustepstwo zachecac agresora wielki przemoc czas wzmocnic nasz polityka oparcie suchy fakt zludzenie    napisac tusk twitter takze szefowa unijny dyplomacja federica mogherinia poinformowac sobota wieczor rozmawiac poroszenka pogarszajacej sytuacja wschod ukraina mozliwy dzialanie oblicze ten wydarzenie wczesnie sobota mogherinia ostrzec nasilenie konflikt doprowadzic dalszego pogorszec stosunki uerosja szef nato jens stoltenberg wezwac rosja by zaprzestac wspierac separatysta ukraina przestrzegac swoj miedzynarodowy zobowiazanie rosyjski wojsko wschodni ukraina wspierac ofensywny operacja separatysta system dowodzic kontrola system obrona przeciwlotniczy zaawansowany rakieta ziemiapowietrze bezzalogowy system lotniczy zaawansowany system wyrzutni rakietowy elektroniczny system wojskowy    oswiadczyc stoltenberg sobota prowadzic separatysta ostrzale mariupola poludniowy wschod ukraina zginac malo osoba,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/wojna-na-ukrainie-tusk-koniec-zludzen-czas,60,0,1699388.html",militaria
Oficer podejrzany o szpiegostwo dla Rosji nie wyjdzie jeszcze z aresztu,decyzja sad zapasc czwartek raz prawomocny warszawski wojskowy sad okregowy przedluzyc kwiecien areszt wobec podejrzec szpiegostwo podpulkownik wojsko polski poinformowac wojskowy prokuratura okregowy Warszawa koniecznosc dalszego stosowac izolacyjny srodek zapobiegawczego sad uzasadnic obawa matactwo strona podejrzany istniejacym zagrozenie ucieczka kraj    powiedziec rzecznik prasowy wpo Warszawa pulkownik Ryszard filipowicz dodac sad uzasadnienie swoj decyzja podkreslic takze wobec zgromadzic prokuratura dowod uprawdopodabniajacy zasadnosc stawiany oficer zarzut przedluzec stosowac tymczasowy aresztowanie uzasadniyc takze grozacy podejrzany surowy kara decyzja sad poinformowac prokuratura wojskowy zapasc czwartek raz prawomocny miec uwaga calosc akta przedmiotowy sledztwo objac klauzula scisle tajny prokuratura udzielic zaden daleki informacja prowadzic postepowanie    dodac pulkownik filipowicz podejrzac szpiegostwo pulkownik wojsko polski prawnik podwojny obywatelstwo zostac aresztowac drugi polowa pazdziernik oficer podejrzany popelniec przestepstwo artykul para kodeks karny czyli udzial dzialalnosc obcy wywiad przeciw rzeczpospolita polski przestepstwo zagrozic kara rok pozbawic wolnosc kolej prawnik Stanislaw,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/oficer-podejrzany-o-szpiegostwo-dla-rosji-nie,211,0,1690323.html",militaria
