headline,content,url,category
Morderstwo w Kanadzie Koniec glosnej sprawy,kanadyjczyk zabic student zwloki pocwiartowac kawalek wyslac poczta miedzy innymi czolowy polityk zostac uznac winny kanadyjczyk 2012 zabic student zwloki pocwiartowac kawalek wyslac poczta miedzy inn,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/morderstwo-w-kanadzie-koniec-glosnej-sprawy,229,0,1682661.html",militaria
Wielkie latajace skrzydlo Chiny chwala sie tajemniczym CH7,targ zhuhai air show oficjalnie zaprezentowac najnowszego chinskiy drono bojowy ch raz pierwszy pisac byc poczatek wrzesien nowoczesny bezzalogowiec niebawy,"https://geekweek.interia.pl/militaria/news-wielkie-latajace-skrzydlo-chiny-chwala-sie-tajemniczym-ch-7,nId,7853020",militaria
Afera wokol Radoslawa Sikorskiego Grzegorz Schetyna broni poprzednika,wczorajsz poranny niezrecznosc zostac zamknac jasny komunikat dyplomacja lubic rozglos halas lubic cisza mowic szef msz szef msz zaznaczyc wypowiedz marszalek radoslaw sikorski amerykanski portal zasz,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/afera-wokol-radoslawa-sikorskiego-grzegorz,52,0,1643316.html",militaria
Ukraincy zdobyli rosyjskie militarne zloto To cios dla Kremla,sily zbrojny ukraina pochwalic przejac najpotezniejszy rosyjski czolgy brac udzial wojna ukraina 90 wielki chluba wladimir putin teraz maszyna pak,"https://geekweek.interia.pl/militaria/news-ukraincy-zdobyli-rosyjskie-militarne-zloto-to-cios-dla-kreml,nId,7644139",militaria
Grupa Wyszehradzka oferuje pomoc Ukrainie,zgodnie ustalenie grupa czlonek wspierac ukraina wybrac dziedzina szefowie dyplomacja panstwo grupa wyszehradzki chciec pomoc implementacja umowa stowarzyszeniowy unia reform petr poroszenka podzielic,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/grupa-wyszehradzka-oferuje-pomoc-ukrainie,24,0,1678360.html",militaria
Rosja nie chce zagranicznych organizacji,opozycja obronca prawo czlowiek twierdzic kreml wykorzystac kontrowersyjny przepis walka swoj oponent wladimir putin podpisac ustawa represjonujac zagraniczny firma organizacja dokument pozwalac wydal,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/rosja-nie-chce-zagranicznych-organizacji,171,0,1809067.html",militaria
System jest gotowy Od poniedzialku PESEL dla uchodzcow z Ukrainy,dziennik ustaw opublikowac komunikat minister cyfryzacja dotyczyc wdrozyc rozwiazanie techniczny umozliwiac nadac numer pesel obywatel ukraina poniedzialek samorzad moc rejestrowac uchodzca sobota wie,https://www.money.pl/gospodarka/system-jest-gotowy-od-poniedzialku-pesel-dla-uchodzcow-z-ukrainy-6746742433421920a.html,militaria
Policja uwolnila zakladnikow w Sydney Sa jednak ofiary,zyc terrorysty zginac rowniez zakladnik czworo zostac ranny australijska policja potwierdzac informacja smierc mezczyzna ponad 16 godzina przetrzymywac grupa osoba kawiarnia centrum sydney podac tez z,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/policja-uwolnila-zakladnikow-w-sydney-sa,177,0,1677489.html",militaria
Kreml drzy przed ta bronia Rakiety Grom2 niemal gotowe,ukrainski armia niebawem moc atakowac moskwa pomoc potezny rakieta balistyczny grom 2sapsan wlasnie miedzy innymi rozwoj bron rosja zaatakowac ukraina ukrainska armia rodz,"https://geekweek.interia.pl/militaria/news-kreml-drzy-przed-ta-bronia-rakiety-grom-2-niemal-gotowe,nId,7273347",militaria
Ukrainie grozi podzial  alarmuja Francuzi,rosja szybko uznac wynik wybory samozwanczy republika ludowy doniecki luganski wskazywac gazeta pisac kreml zapewniac siebie sposob kontrola nad czesc sasiedni kraj komentatorzy francuski dziennik le ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/ukrainie-grozi-podzial---alarmuja-francuzi,223,0,1652447.html",militaria
Putin rozmawial z Obama o Ukrainie Bliskim Wschodzie i Panstwie Islamskim,prezydent usa rosja omowic sytuacja ukraina bliski wschodzie program atomowy iran problem walka terroryzm tak zwany panstwo islamski is prezydent rosja wladimir putin zadzwonic prezydent usa baracka o,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/putin-rozmawial-z-obama-o-ukrainie-bliskim,146,0,1840018.html",militaria
Decyzja Unii Europejskiej wykroczy poza jej granice Chodzi o ladowarki,parlament europejski pazdziernik wydac rozporzadzenie ujednolici sposob ladowac urzadzenie mobilny koniec 2024 producent elektronika unia europejski musiec dostosowac swoj produkt zgodny standard usb ,https://www.money.pl/gospodarka/decyzja-unii-europejskiej-wykroczy-poza-jej-granice-chodzi-o-ladowarki-6820416941525856a.html,militaria
Walka z dzihadystami Zginelo 6 zolnierzy libanskich w poblizu granicy z Syria,zolnierze jechac patrole zmotoryzowany sprawca uzyc bron automatyczny pocisk przeciwpancerny wojsko wyslac posilek rejon atak ciag nastepny godzina trwac starcie malo szesc zolnierz libanski zostac za,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/walka-z-dzihadystami-zginelo-6-zolnierzy,229,0,1669861.html",militaria
Turcja prezy muskuly przed Izraelem nowym dronem ANKA3,turkish aerospace industries koniec pokazac pierwszy lot bezzalogowy drono anka wiele zaawansowany nastepca slynny drono bayraktar tb turcja trakt budowa,"https://geekweek.interia.pl/militaria/news-turcja-prezy-muskuly-przed-izraelem-nowym-dronem-anka-3,nId,7236211",militaria
Korupcja na Ukrainie Edeklaracje majatkowe urzednikow panstwowych to bubel,wedlug wiele opinia system obecny ksztalt nieefektywny bubl zostac bowiem zatwierdzic urzad sprawa ochrona informacja wskazywac ekspert sprawiac ujawnic dane prawny moc dowod sad ukrainie poniedzialek,"https://www.money.pl/gospodarka/wiadomosci/artykul/korupcja-na-ukrainie-e-deklaracje-majatkowe,97,0,2139233.html",militaria
Amerykanski Abrams z wyjatkowa nazwa dla polskiego zolnierza,nowy amerykanski czolg abrams dostarczony warszawski brygada pancerny otrzymac wyjatkowy nazwa sitek 21 sposob zolnierz chciec upamietnic swoj kolega sierz,"https://geekweek.interia.pl/militaria/news-amerykanski-abrams-z-wyjatkowa-nazwa-dla-polskiego-zolnierza,nId,7748971",militaria
Wojna na Ukrainie Źrodla w parlamencie wniosek o uznanie Rosji za agresora,procz parlament zwrocic panstwo sojuszniczy zaoferowanie ukrainie pomoc postac sprzet obronny oswiadczyc przedstawiciel frakcja samopomoc liderzy frakcja parlament ukraina uzgodnic prezydent petr poro,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/wojna-na-ukrainie-zrodla-w-parlamencie,253,0,1700349.html",militaria
WlkBrytania 115 mln funtow na odprawy dla parlamentarzystow,brytyjski podatnik zaplacic czlonka izba gmina dostac ponownie parlament rekordzista otrzymac pozegnanie 88 tysiac funt brytyjscy podatnik zaplacic czlonka izba gmina dostac ponownie parlament 115 mil,"https://www.money.pl/gospodarka/wiadomosci/artykul/wlk-brytania-11-5-mln-funtow-na-odprawy-dla,166,0,1791654.html",militaria
Holendrzy maja problem z czarnoskorym pomocnikiem sw Mikolaja,postac czarny piotrus budzic tylko sympatia holendrzy toczyc bowiem dyskusja przejaw rasizm zwarte piet czyli czarny piotrus tradycja niderlandzki pomocnik swiety mikolaj rozdawac dziecko prezent latw,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/holendrzy-maja-problem-z-czarnoskorym,159,0,1681311.html",militaria
W garazu zbudowal potezny woz bojowy z laserem,grecki armia przygotowywac wojna przyszlosc wysylac jasny sygnal swoj wrog cel powstac nietypowo wygladac pojazd bojowy dysponowac potezny laser armia grecja,"https://geekweek.interia.pl/militaria/news-w-garazu-zbudowal-potezny-woz-bojowy-z-laserem,nId,7826413",militaria
Prokurator jednak przeswietli Sikorskiego Za kilometrowki,wedlug prokurator generaln decyzja sprzed odmowa wszczac sledztwo sprawa przedwczesna nowy sledztwo sprawa kilometrowka radoslaw sikorski dowiadowac nieoficjalnie radio zet prokurator generalny andrze,"https://www.money.pl/gospodarka/wiadomosci/artykul/prokurator-jednak-przeswietli-sikorskiego-za,144,0,1677200.html",militaria
Protesty przeciwko ruchom antyimigracyjnym,uczestnik protest podkreslac niemiec tolerancyjny otworzyc swiat spoleczenstwo tysiace czlowiek wiele miasto niemcy protestowac wieczor przeciwko rosnacym sila rucha antyimigracyjny uczestnik protest ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/protesty-przeciwko-ruchom-antyimigracyjnym,24,0,1688088.html",militaria
Sily USA zestrzelily drona NATO Pierwszy taki przypadek,donosic amerykanski medium rejon polnocny wschodni syria sila powietrzny usa zestrzelic tureckiy drono zostac uznac zagrozenie zblizec amerykanski sila zbro,"https://geekweek.interia.pl/militaria/news-sily-usa-zestrzelily-drona-nato-pierwszy-taki-przypadek,nId,7069489",militaria
Zastrzelony policjant w USA Wielkie czuwanie,komendant nowojorski policja mowic funkcjonariusz zostac zabici nosic mundur setki czlowiek burmistrz nowy jork bill de blasio wziac udzial czuwac modlitewny intencja policjant wraz swoj partner zosta,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/zastrzelony-policjant-w-usa-wielkie-czuwanie,134,0,1683590.html",militaria
Ukraina chwali sie bojowa wersja Humvee Mocno wybuchowa,37 samodzielny brygad piechota morski ukraina opublikowac siec zdjecie przedstawiac opancerzona humvee wyposazyc czterostrzalowy zasobnik rakieta naprowadzany laserowo znaczenie hmm,"https://geekweek.interia.pl/militaria/news-ukraina-chwali-sie-bojowa-wersja-humvee-mocno-wybuchowa,nId,7631334",militaria
To najgrozniejszy bombowiec Ukrainy Przenosi niezwykla bron,ukrainiec podrywac walka rosja bombowiec su 24 maszyna przenosic zachodnie pocisk manewruc daleki zasieg storm shadow siec spustoszec teren rosja bombowc,"https://geekweek.interia.pl/militaria/news-to-najgrozniejszy-bombowiec-ukrainy-przenosi-niezwykla-bron,nId,20245707",militaria
Wicepremier Siemoniak spotyka sie z ksieciem Arabii Saudyjskiej,glowny temat rozmowa zaciesnianie wspolpraca wojskowy miedzy polska arabia saudyjska wicepremier tomasz siemoniak oficjalny wizyta arabia saudyjski szef mon spotkac rijadza nastepca tron szef tamtejsz,"https://www.money.pl/gospodarka/wiadomosci/artykul/wicepremier-siemoniak-spotyka-sie-z-ksieciem,107,0,1669995.html",militaria
Prezydent Wenezueli apeluje do Obamy o zaprzestanie destabilizowania kraju,wedlug maduro dyplomacic usa akredytowac wenezuel zachecac wojskowy dziennikarz opozycja dzialanie wymierzyc przeciwko rzad prezydent wenezuec nicolas maduro zaapelowac prezydent usa barack obac zaprz,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/prezydent-wenezueli-apeluje-do-obamy-o,89,0,1719897.html",militaria
Strzelanina w USA Szaleniec zabil policjantow w Nowym Jorku,uzbrojony mezczyzna zastrzelic oficer znajdowac oznakowany woz policyjny brooklyn sprawca nastepnie popelnic samobojstwo wczesnie zamieszczac portale spolecznosciowy wymierzyc policja wpis przedstawic,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/strzelanina-w-usa-szaleniec-zabil,112,0,1681264.html",militaria
Rosjanie zaskoczeni nowa amerykanskoukrainska bronia,ukrainskie sila zbrojny potwierdzac wprowadzic sluzba nowy system obrona powietrzny projekt frankensam zmora rosyjski zolnierz zastosowanie technologia usa,"https://geekweek.interia.pl/militaria/news-rosjanie-zaskoczeni-nowa-amerykansko-ukrainska-bronia,nId,7277591",militaria
Joe Bidenowi grozi impeachment Bylby czwartym prezydentem USA postawionym w stan oskarzenia,wladza usa wykonac pierwszy krok ramy procedura impeachment joe bidena potwierdzic spiker izba reprezentantow kevin mccarthy polityk partia republikanski potwierdzic formalny wszczecie sledztwo dotycz,https://www.money.pl/gospodarka/joe-bidenowi-grozi-impeachment-bylby-czwartym-prezydentem-usa-postawionym-w-stan-oskarzenia-6940859792910976a.html,militaria
Kanada naklada sankcje na Iran za lamanie praw czlowieka Europa szykuje sie do tego kroku,kanada nakladac sankcja 25 iranczyk iranski podmiot zwiazek pogwalceni prawo czlowiek przesladowanie kobieta krok szykowac europa rzad niemcy wspolnie rzad francja dania hiszpania wlochy czechy przygo,https://www.money.pl/gospodarka/kanada-naklada-sankcje-na-iran-za-lamanie-praw-czlowieka-europa-szykuje-sie-do-tego-kroku-6819062198070112a.html,militaria
Katastrofa malezyjskiego samolotu Wydobyto ogon maszyny,pora odnalezc 48 cialo ofiara katastrofa samolot podrozowac 162 osoba wciaz trwac poszukiwac czarny skrzynka maszyna pora odnalezc 48 cialo ofiara katastrofa samolot podrozowac 162 osoba ogon samolot ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/katastrofa-malezyjskiego-samolotu-wydobyto,54,0,1690678.html",militaria
W Minsku bedzie ta sama godzina co w Moskwie,bialorus zaczac zyc wedlug czas moskiewskiy razem donbasem krym bialorus czwarty rzad przechodzic czas zimowy rosja natomiast uczynic cofac wskazowka zegar godzina rezultat minsk moskwa znajda strefa ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/w-minsku-bedzie-ta-sama-godzina-co-w-moskwie,53,0,1646133.html",militaria
Tego jeszcze nie bylo Dron zneutralizowal mine przeciwpancerna,sily zbrojny ukraina pokazac dryc szybki skuteczny sposob neutralizowac rosyjski mina przeciwpiechotny przeciwpancerny ukraincy chwalic nowy sposob neutralizacja rosyjs,"https://geekweek.interia.pl/militaria/news-tego-jeszcze-nie-bylo-dron-zneutralizowal-mine-przeciwpancer,nId,7820272",militaria
Egzekucje dziennikarzy Nowy trend w Syrii,sciecie glowa dziennikarz islamistyczny bojownik wskazywac nowy szokowac forma przemoc grozace pracownik media sciecie glowa dziennikarz islamistyczny bojownik syria wskazywac nowy szokujacy forma prz,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/egzekucje-dziennikarzy-nowy-trend-w-syrii,65,0,1677889.html",militaria
Ukraincy dopadli 2S40 Floks Rosyjska nowosc gryzie piach,sily zbrojny ukraina pochwalic kolejny udac akcja udzial dryc fpv raz udac zidentyfikowac zniszczyc naprawde cenny wyposazenie mianowicie rosyjski nowosc koniec ubiegly,"https://geekweek.interia.pl/militaria/news-ukraincy-dopadli-2s40-floks-rosyjska-nowosc-gryzie-piach,nId,7422070",militaria
Rezim w Korei Polnocnej zbudowal lodz podwodna ktora,korea polnocny zakonczyc budowa nowy lodz podwodny zdolny przyszlosc przenoszec wystrzeliwac balistyczny pocisk nuklearny poinformowac niedziela zrodlo rzadowy korea pld jednostke zbudowac oparcie sta,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/rezim-w-korei-polnocnej-zbudowal-lodz,136,0,1650568.html",militaria
Berlusconi cieszy sie z uniewinnienia,78 letni berlusconi nazywac proces ponura karta tylko zycie historia caly kraj mieszkaniec wracam scena budowac wlochy dobry sprawiedliwy wolny pisac byly premier wlochy silvio berlusconi specjalny os,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/berlusconi-cieszy-sie-z-uniewinnienia,214,0,1733334.html",militaria
Kolejny zakaz od Zachodu dla Ukraincow Chodzi o F16,przekazane mysliwiec 16 moc zostac uzyc tylko walka nad terytorium ukraina stwierdzic belgijski premier podczas wtorkowy spotkanie prezydent zelenski wazny ograniczenie,"https://geekweek.interia.pl/militaria/news-kolejny-zakaz-od-zachodu-dla-ukraincow-chodzi-o-f-16,nId,7541160",militaria
Ukraina Bierzesz kawalek rury odplywowej i masz dronkamikadze,rosyjski zrodlo opublikowac zdjecie przedstawiac wrak improwizowany ukrainski drona kamikaga chociaz widziec byc wiele podobny konstrukcja wykorzystuc rura odplywo,"https://geekweek.interia.pl/militaria/news-ukraina-bierzesz-kawalek-rury-odplywowej-i-masz-dron-kamikad,nId,7760222",militaria
Kuba i USA wznowia relacje dyplomatyczne Moskwa komentuje,zobaczyc wystapic baracko obac todos somos americanos prezydent barack obama oglosic czesciowy poluzowanie izolacja kuba wkrotce rozpoczac negocjacja sprawa aktualizacja 2119 duzy zwrot amerykanski re,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/kuba-i-usa-wznowia-relacje-dyplomatyczne,197,0,1679301.html",militaria
Federacja gmin zydowskich przeciwna wizycie Putina w Pradze,prezydent rosja zostac zaprosic czeski obchod rocznica wyzwolec auschwitz prezydent rosja wladimir putin zostac zaprosic czeski obchod rocznica wyzwolec auschwitz styczen praga putinac wraz przedstawi,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/federacja-gmin-zydowskich-przeciwna-wizycie,63,0,1681215.html",militaria
Walki w Pakistanie Wojsko odparlo atak talibow,wynik operacja militarny sila rzadowy region uciec ponad 150 tysiac czlowiek atak posterunek okreg khyber zginac 17 bojownik doszlo miejscowosc bar teren polnocny zachodni pakistanie przy granica afga,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/walki-w-pakistanie-wojsko-odparlo-atak,92,0,1654876.html",militaria
Tajemniczy dronsmok miotajacy ogniem zaatakowal Rosjan,sily zbrojne ukraina zaatakowac pozycja rosyjski zolnierz obwod zaporoski pomoc nowy drono niczym smok zalec okupant strumieni ogien jakis czas temu ukrainiec rozpoczac,"https://geekweek.interia.pl/militaria/news-tajemniczy-dron-smok-miotajacy-ogniem-zaatakowal-rosjan,nId,7771343",militaria
Potezny wybuch w rosyjskiej fabryce pociskow Iskander i TopolM,wczoraj wieczor 07 02 dojsc olbrzymi eksplozja fabryka strategiczny rosyjski pocisk iskander topol moc przenosic bron jadrowy eksplozja nastapic niedaleko miasto izewsk,"https://geekweek.interia.pl/militaria/news-potezny-wybuch-w-rosyjskiej-fabryce-pociskow-iskander-i-topo,nId,7317906",militaria
Rosjanie chwala sie zniszczeniem pieciu mysliwcow F16 na Ukrainie,silom zbrojnym ukraina ostatni trzy dzien udac zniszczyc az piec rosyjski samolot tymczasem rosjanin desperacja oglosic wszystek media propagandowy odwet stracic,"https://geekweek.interia.pl/militaria/news-rosjanie-chwala-sie-zniszczeniem-pieciu-mysliwcow-f-16-na-uk,nId,7230551",militaria
Tajne dane dotyczace amerykanskich F35 i F15 w sieci Winna Rosja,siec pojawiac coraz wiecej informacja ogromny wyciek dokument zwiazac mysliwca 35 15 system uzbrojenie wedlug raport south china morning post wyciek dokume,"https://geekweek.interia.pl/militaria/news-tajne-dane-dotyczace-amerykanskich-f-35-i-f-15-w-sieci-winna,nId,7643082",militaria
W Londynie zmarl prezydent Zambii Michael Sata,wedlug zambijski media sata zemrzec wczoraj wieczor szpital krol edward vii centrum londyn szpital odmowic komentarz urzedujacy prezydent zambia michael sata zemrzec wiek 77 londyn przebywac leczyc po,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/w-londynie-zmarl-prezydent-zambii-michael,220,0,1648092.html",militaria
Ukraina zaostrza przepisy dotyczace wjazdu Rosjan,zmiana wejdic zycie marzec rzad ukraina marzec zobowiazywac rosjanin by wjezdzac kraj wylacznie podstawa paszport zagraniczny dotychczas podstawa odpowiednik dowod osobisty rozporzadzenie rzadowy data,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/ukraina-zaostrza-przepisy-dotyczace-wjazdu,148,0,1704596.html",militaria
Ogromna eksplozja czolgu w Ukrainie Żolnierze nie mogli w to uwierzyc,ukrainski drona doprowadzic katastrofalnego wybuch rosyjski czolgu moment uchwycic nagranie widac wieza wyrzucc gora wysokosc ponad 70 metr rosyjski czolg slyn,"https://geekweek.interia.pl/militaria/news-ogromna-eksplozja-czolgu-w-ukrainie-zolnierze-nie-mogli-w-to,nId,7830245",militaria
Naloty na Panstwo Islamskie ZEA wespra Jordanie,krol jordanii abdullah zapowiedziec pomszczec smierc 26 letniego jordanskiy pilot zjednoczone emiraty arabski zea wysylac jordania dywizjon mysliwiec 16 by wesprzec nalota pozycja panstwo islamskiego ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/naloty-na-panstwo-islamskie-zea-wespra,70,0,1707334.html",militaria
Duze straty Floty Czarnomorskiej Ukraina dokonala niemozliwego,rosyjsky flota czarnomorski rozsypce efekt ogromny strata poniesiic zwiazek ukrainski ataka okrety pomoc morski dron kamikaga kreml stracic 500 milion,"https://geekweek.interia.pl/militaria/news-duze-straty-floty-czarnomorskiej-ukraina-dokonala-niemozliwe,nId,7502938",militaria
Zaufanie do instytucji panstwa we Wloszech Franciszek liderem,wlosi tracic zaufanie wszystek instytucja partia polityczny unia europejski rekordowo wysoki zaufanie obdarzac tylko papiez wlosi tracic zaufanie wszystek instytucja partia polityczny unia europejski ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/zaufanie-do-instytucji-panstwa-we-wloszech,119,0,1686391.html",militaria
Pierwszy rosyjski okret zniszczony za pomoca pocisku ATACMS,stac analitycy militarnia donosic rosyjski tralowiec projekt 266 kowrowiec zostac zatopiyc ukraincow pomoc amerykanski pocisk atacms wskazywac sily zbr,"https://geekweek.interia.pl/militaria/news-pierwszy-rosyjski-okret-zniszczony-za-pomoca-pocisku-atacms,nId,7522814",militaria
Uciekinierzy z Ukrainy Polska jest dla nas jedyna szansa,zwiazek konflikt rosyjski aneksja krymu polska ostatni czas trafiac coraz wiecej tatar krymski przeszlosc zdarzac niezmiernie rzadko ukraincy wynik konflikt wschod kraj przyjechac polska starac status,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/uciekinierzy-z-ukrainy-polska-jest-dla-nas,4,0,1683716.html",militaria
Rakieta spadla na terytorium Polski Obiekt nadlecial z Ukrainy,29 12 godzina poranny niezidentyfikowany obiekt powietrzny naruszyc polski przestrzen powietrzny wojsko przekazac nadleciac strona granica ukraina sygnal radilokacyjny,"https://geekweek.interia.pl/militaria/news-rakieta-spadla-na-terytorium-polski-obiekt-nadlecial-z-ukrai,nId,7237713",militaria
USA zaatakuja w Rosji i Iranie tysiace celow jednoczesnie,stany zjednoczone niebawem dysponowac potezny bronia postac dron kamikaga mq 20 avenger a2le technologia roj moc jednoczesnie zaatakowac az 1000 cel pentagon nies,"https://geekweek.interia.pl/militaria/news-usa-zaatakuja-w-rosji-i-iranie-tysiace-celow-jednoczesnie,nId,7599322",militaria
Uchodzcy z Afryki Szczyt UE spowodowal konflikt Tuska z Junckerem,jednak oprzec dobrowolny decyzja poszczegolny panstwo imigrant przyjma poinformowac kanclerz niemcy angela merkel przewodniczacy rada europejski komisja europejski poklocony nieoficjalny informacja wy,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/uchodzcy-z-afryki-szczyt-ue-spowodowal,162,0,1840034.html",militaria
Wybory w Namibii Znamy wyniki,piatkowy wybory prezydencki wygrac premier hage geingob uzyskiwac 867 procent glos piatkowy wybory prezydencki wygrac premier wiceszef rzadzic organizacja ludu afryka poludniowy zachodniej swapo hage ,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/wybory-w-namibii-znamy-wyniki,54,0,1669174.html",militaria
Zastrzelil nastolatka Teraz zrezygnowal ze sluzby,chciec by jeszcze ktos zostac skrzywdzc powod mowic michael brown bialy policjant sierpien zastrzelic czarnoskory nastolatek michael brown ferguson stan missoura zrezygnowac sluzba tamtejszy policja p,"https://prawo.money.pl/aktualnosci/wiadomosci/artykul/zastrzelil-nastolatka-teraz-zrezygnowal-ze,219,0,1668059.html",militaria
