headline,category,url
Twórca Amber Gold ostatecznie skazany. Sąd Najwyższy oddalił kasację obrony,Prawo,https://www.money.pl/gospodarka/tworca-amber-gold-ostatecznie-skazany-sad-najwyzszy-oddalil-kasacje-obrony-7084440545090112a.html
"NIK krytykuje rząd PiS. ""Nieracjonalnie wydał 148 mln zł""",Gospodarka,https://www.money.pl/gospodarka/nik-krytykuje-rzad-pis-nieracjonalnie-wydal-148-mln-zl-7084422815058496a.html
Mandat na raty. RPO chce zmian ws. wygaszania punktów karnych,Finanse,https://www.money.pl/gospodarka/mandat-na-raty-rpo-chce-zmian-ws-wygaszania-punktow-karnych-7084330000218720a.html
Domki dla powodzian od Buddy. Zamieszanie wokół darowizny,Powódź,https://www.money.pl/gospodarka/domki-dla-powodzian-od-buddy-zamieszanie-wokol-darowizny-7084318137793120a.html
Hanna Gronkiewicz-Waltz objęła mandat europoselski,Prawo,https://www.money.pl/gospodarka/hanna-gronkiewicz-waltz-objela-mandat-europoselski-7084137162594912a.html
Kary dla Hindusa i Dunki. Złamali prawo na Lotnisku Chopina,Prawo,https://www.money.pl/gospodarka/kary-dla-hindusa-i-dunki-zlamali-prawo-na-lotnisku-chopina-7084138204129856a.html
"Powodzianie szykują pozew zbiorowy. ""Ma udowodnić błędne decyzje""",Gospodarka,https://www.money.pl/gospodarka/powodzianie-szykuja-pozew-zbiorowy-ma-udowodnic-bledne-decyzje-7084120359356992a.html
Tak Rosja szpiegowała Gruzję. Są nowe informacje,Gospodarka,https://www.money.pl/gospodarka/tak-rosja-szpiegowala-gruzje-sa-nowe-informacje-7084107858188864a.html
"Właściciel Facebooka i Instagrama zwolnił za ""kupowanie pasty do zębów""? W sieci zawrzało",Praca,https://www.money.pl/gospodarka/wlasciciel-facebooka-i-instagrama-zwolnil-za-kupowanie-pasty-do-zebow-w-sieci-zawrzalo-7084090072750656a.html
NIK rozpoczęła kontrolę w Urzędzie Ochrony Konkurencji i Konsumentów,Finanse,https://www.money.pl/gospodarka/nik-rozpoczela-kontrole-w-urzedzie-ochrony-konkurencji-i-konsumentow-7084088687548992a.html
Śledztwo w Nitro-chemie przedłużone. Kolejne osoby z zarzutami,Prawo,https://www.money.pl/gospodarka/sledztwo-w-nitro-chemie-przedluzone-kolejne-osoby-z-zarzutami-7084067833666112a.html
Pijani pasażerowie to plaga. Prezes Wizz Aira odpowiada na pomysł szefa Ryanaira,Prawo,https://www.money.pl/gospodarka/pijani-pasazerowie-to-plaga-prezes-wizz-aira-odpowiada-na-pomysl-szefa-ryanaira-7081914632088128a.html
Obawiasz się podania numeru PESEL w aptece? Oto kiedy nie musisz,Wiadomości,https://www.money.pl/gospodarka/obawiasz-sie-podania-numeru-pesel-w-aptece-oto-kiedy-nie-musisz-7083681300126304a.html
Chiński producent dronów pozwał Pentagon. Znalazł się na czarnej liście,Drony,https://www.money.pl/gospodarka/chinski-producent-dronow-pozwal-pentagon-znalazl-sie-na-czarnej-liscie-7083349332507232a.html
Nieoczekiwane skutki specustawy. Notariusze biją na alarm,Powódź,https://www.money.pl/gospodarka/rzad-zaskoczyl-notariuszy-bedzie-ratunkowa-poprawka-do-specustawy-powodziowej-7083001604069952a.html
Nagły zwrot ws. związków partnerskich. Rząd wykonał ruch,Związki partnerskie,https://www.money.pl/gospodarka/nagly-zwrot-ws-zwiazkow-partnerskich-rzad-wykonal-ruch-7083007047535200a.html
Audyt w BGK. Jest zawiadomienie do prokuratury. Nawet 180 mln zł straty,Bgk,https://www.money.pl/gospodarka/audyt-w-bgk-jest-zawiadomienie-do-prokuratury-nawet-180-mln-zl-straty-7082989602916928a.html
Spór o politykę migracyjną. Lewica nie zgodzi się na zawieszanie prawa do azylu,Prawo,https://www.money.pl/gospodarka/spor-o-polityke-migracyjna-lewica-nie-zgodzi-sie-na-zawieszanie-prawa-do-azylu-7082947989326432a.html
