headline,content,url,category
Microsoft buduje centrum danych z nietypowego materiału. Wykorzysta drewno,"Microsoft podejmuje pionierskie działania na rzecz redukcji śladu węglowego swoich centrów danych, testując nietypowe drewniane konstrukcje w północnej Wirginii. Eksperyment to część większej strategi","https://geekweek.interia.pl/technologia/news-microsoft-buduje-centrum-danych-z-nietypowego-materialu-wyko,nId,7849085",Technologia
Sztuczna inteligencja miała stworzyć chodzącego robota. Coś poszło nie tak...,"Zespół naukowców znalazł dla sztucznej inteligencji nowe zastosowanie. Badacze poprosili SI o stworzenie robota, który będzie mógł chodzić. W odpowiedzi otrzymano projekt po zaledwie niecałych 30 seku","https://geekweek.interia.pl/technologia/news-sztuczna-inteligencja-miala-stworzyc-chodzacego-robota-cos-p,nId,7078690",Technologia
"Ważna funkcja telefonu. Nawet nie wiesz, że ją masz","Według najnowszych badań tylko 27% użytkowników smartfonów używa dziennie asystentów głosowych. To więcej niż kiedyś, ale nadal niewiele. Mowa przecież o darmowym asystencie, który jest w stanie wykon","https://geekweek.interia.pl/technologia/news-wazna-funkcja-telefonu-nawet-nie-wiesz-ze-ja-masz,nId,7385532",Technologia
Chiny testują Nezha-SeaDart. To hybrydowy dron powietrzno-morski,"Naukowcy z Uniwersytetu Jiao Tong w Szanghaju (SJTU) zaprezentowali nowy typ amfibii, która może unosić się w powietrzu jak dron, latać niczym samolot, a następnie nurkować z dużą prędkością pod wodę.","https://geekweek.interia.pl/technologia/news-chiny-testuja-nezha-seadart-to-hybrydowy-dron-powietrzno-mor,nId,7752652",Technologia
Nowy abonament w Żabce. Popularny napój będzie tańszy,"Sieć sklepów Żabka nie przestaje zaskakiwać. Po wprowadzeniu nowych produktów i usług, do oferty sieci dołączył zupełnie nowy abonament. Tym razem w ramach jednej opłaty odbierzemy sporo popularnych n","https://geekweek.interia.pl/technologia/news-nowy-abonament-w-zabce-popularny-napoj-bedzie-tanszy,nId,7430929",Technologia
Sztuczna inteligencja ostrzega przed wybuchem popularnych baterii,"Jeśli bateria litowo-jonowa nagrzeje się zbyt mocno lub zostanie uszkodzona, może się zapalić, a nawet eksplodować, co jest niezwykle niebezpieczne. Okazuje się, że sztuczna inteligencja potrafi usły","https://geekweek.interia.pl/technologia/news-sztuczna-inteligencja-ostrzega-przed-wybuchem-popularnych-ba,nId,7856522",Technologia
Znikają Podcasty Google. Użytkownicy mogą przenieść swoje subskrypcje,"Użytkownicy Podcastów Google będą musieli przenieść się na inną platformę. Okazuje się, że po 23 czerwca słuchanie podcastów za pośrednictwem rzeczonej usługi nie będzie już możliwe. W jaki sposób prz","https://geekweek.interia.pl/technologia/news-znikaja-podcasty-google-uzytkownicy-moga-przeniesc-swoje-sub,nId,7497939",Technologia
Elon Musk nie dba o bezpieczeństwo pracowników SpaceX. Mars jest ważniejszy,"Elon Musk marzy o podróżach na Marsa i okazuje się, że ten cel jest dla niego ważniejszy od bezpieczeństwa pracowników. Nowy raport wskazuje, że liczba wypadków i doznawanych obrażeń przez zatrudniony","https://geekweek.interia.pl/technologia/news-elon-musk-nie-dba-o-bezpieczenstwo-pracownikow-spacex-mars-j,nId,7145955",Technologia
"Kody 21 i 62. Od razu wiesz, czy telefon jest na podsłuchu","Wiele osób obawia się, że ich telefon może być podsłuchiwany przez inne osoby czy instytucje. Jest kilka prostych kroków, które pozwalają, żeby to sprawdzić. Czy twój smartfon jest bezpieczny? Wykorzy","https://geekweek.interia.pl/technologia/news-kody-21-i-62-od-razu-wiesz-czy-telefon-jest-na-podsluchu,nId,7349616",Technologia
Wirus w telefonie. Co robić i jak go usunąć? Skuteczne sposoby,"Wirus w telefonie może zrujnować dzień, spowalniając działanie urządzenia, wykradając dane czy uniemożliwiając korzystanie z aplikacji. Choć to problem, z którym coraz więcej osób się spotyka, istniej","https://geekweek.interia.pl/technologia/news-wirus-w-telefonie-co-robic-i-jak-go-usunac-skuteczne-sposoby,nId,7756533",Technologia
Huawei Mate XT zaprezentowany. Rewolucja na rynku składanych smartfonów?,"Huawei Mate XT to pierwszy składany smartfon na rynku, który ma wyświetlacz rozkładany nie z dwóch, a trzech części. Urządzenie wprowadza więc świeże rozwiązanie na rynku tego typu urządzeń. Cena Huaw","https://geekweek.interia.pl/technologia/news-huawei-mate-xt-zaprezentowany-rewolucja-na-rynku-skladanych,nId,7777836",Technologia
Facebook i nieuczciwa konkurencja w Polsce? UOKiK to sprawdzi,"Czy Meta stosuje w Polsce techniki nieuczciwej konkurencji? Sprawdzi to Urząd Ochrony Konkurencji i Konsumenta, którego prezes poinformował o wszczęciu postępowania wobec amerykańskiego giganta. Tomas","https://geekweek.interia.pl/technologia/news-facebook-i-nieuczciwa-konkurencja-w-polsce-uokik-to-sprawdzi,nId,7841013",Technologia
Jak ustawić telewizję naziemną i zwiększyć liczbę programów?,"Naziemna telewizja cyfrowa to nieodpłatna platforma dystrybucji programów telewizyjnych, która jest powszechnie dostępna dla każdego Polaka. Telewizja naziemna działa niezależnie od płatnych operatoró","https://geekweek.interia.pl/technologia/news-jak-ustawic-telewizje-naziemna-i-zwiekszyc-liczbe-programow,nId,7833112",Technologia
Toyota tworzy eksperymentalne miasto. Będzie w pobliżu słynnej atrakcji,"W pobliżu wulkanu Fuji znany duński architekt zaprojektował dla Toyoty futurystyczne miasto przesiąknięte nowoczesną technologią, którą jednocześnie mieszkańcy będą mogli testować. Pierwsze budynki st","https://geekweek.interia.pl/technologia/news-toyota-tworzy-eksperymentalne-miasto-bedzie-w-poblizu-slynne,nId,7617580",Technologia
"Jak sprawdzić hasło do WiFi, gdzie je znaleźć i zmienić?","Większość z nas korzysta w domu z WiFi, czyli bezprzewodowego internetu. Czy wiecie, w jaki sposób zadbać o jakość połączenia i uchronić się przed niechcianymi użytkownikami? Pomoże w tym jedno ważne","https://geekweek.interia.pl/technologia/news-jak-sprawdzic-haslo-do-wifi-gdzie-je-znalezc-i-zmienic,nId,7378011",Technologia
Intelsat 33e rozpadł się na orbicie. Jego szczątki zagrażają innym satelitom,"Kosmiczne śmieci stają się coraz większym problemem, a jedną z przyczyn ich powstawania są nieprzewidziane awarie satelitów. Do ostatniej z nich doszło trzy dni temu i spowodowała ona spore poruszenie","https://geekweek.interia.pl/technologia/news-intelsat-33e-rozpadl-sie-na-orbicie-jego-szczatki-zagrazaja,nId,7840779",Technologia
Na wschodzie Ukrainy pojawiają się ogromne tuby,Siły Zbrojne Ukrainy starają się być maksymalnie elastyczne i innowacyjne w podejściu do szybkiego przerzutu sprzętu na front lub błyskawicznego i bezpiecznego wycofania się żołnierzy. W tym celu idea,"https://geekweek.interia.pl/technologia/news-na-wschodzie-ukrainy-pojawiaja-sie-ogromne-tuby,nId,7833471",Technologia
Samsung zrobi porządek z powiadomieniami. Nowa funkcja w drodze,"Chociaż niektóre funkcje sztucznej inteligencji można uznać za tworzone na siłę, to tym razem szykuje się coś świetnego. Samsung, podobnie jak i Apple, ma zamiar uporządkować nasze powiadomienia. I są","https://geekweek.interia.pl/technologia/news-samsung-zrobi-porzadek-z-powiadomieniami-nowa-funkcja-w-drod,nId,7849813",Technologia
Ukraińskie Brave1 ujawnia innowacyjny dron do usuwania min,"Jak poinformował ukraiński minister transformacji cyfrowej Mychajło Fiodorow, Kijów w ramach inicjatywy Brave1 opracował innowacyjny zdalnie sterowany system rozminowywania. W połowie marca dowiedziel","https://geekweek.interia.pl/technologia/news-ukrainskie-brave1-ujawnia-innowacyjny-dron-do-usuwania-min,nId,7420253",Technologia
"Polscy studenci stworzyli aplikację, która pokazuje opóźnienia autobusów","Studenci AGH opracowali aplikację, którą docenią pasażerowie komunikacji miejskiej. CityTransit pokazuje na żywo opóźnienia autobusów i tramwajów. Platformę stworzyli absolwenci Wydziału Informatyki A","https://geekweek.interia.pl/technologia/news-polscy-studenci-stworzyli-aplikacje-ktora-pokazuje-opoznieni,nId,7855307",Technologia
Brak obrazu i dźwięku. 15 grudnia pewny czarny ekran w telewizorze,Użytkownicy odbiorników telewizyjnych już wkrótce mogą ujrzeć czarny ekran w swoich telewizorach. 15 grudnia nastąpią zmiany w telewizji naziemnej. Jeżeli urządzenie nie obsługuje nowego standardu DVB,"https://geekweek.interia.pl/technologia/news-brak-obrazu-i-dzwieku-15-grudnia-pewny-czarny-ekran-w-telewi,nId,7193304",Technologia
Jak ładować telefon Samsung? Nie wszyscy o tym wiedzą,"Ładowanie telefonu wydaje się być proste. Podłączamy ładowarkę do gniazdka, podpinamy telefon i czekamy, aż bateria się napełni. Nie jest to jednak tak oczywiste, bo często zapominamy o najważniejszyc","https://geekweek.interia.pl/technologia/news-jak-ladowac-telefon-samsung-nie-wszyscy-o-tym-wiedza,nId,7574582",Technologia
Największy iPhone na świecie. Nie stworzyło go Apple,"Dwóch youtuberów postanowiło uprzedzić plany Apple i zbudowali największego na świecie iPhone'a, który jest wielkości telewizora i… działa! Nie jest to więc zwykła atrapa, a urządzenie oferujące pewną","https://geekweek.interia.pl/technologia/news-najwiekszy-iphone-na-swiecie-nie-stworzylo-go-apple,nId,7776898",Technologia
Kosmiczna rewolucja. SpaceX naprawdę chce to zrobić na orbicie,"Starship to wielka rakieta, którą SpaceX buduje od lat. Projekt ma umożliwić realizowanie misji w Układzie Słonecznym. W tym celu statek trzeba będzie jednak najpierw zatankować na orbicie. Jeśli wszy","https://geekweek.interia.pl/technologia/news-kosmiczna-rewolucja-spacex-naprawde-chce-to-zrobic-na-orbici,nId,7849612",Technologia
"Tajemniczy balon nad granicą. Strażnicy pokazali, co zawiera",Funkcjonariusze z Podlaskiego Oddziału Straży Granicznej wypatrzyli na niebie ponad granicą polsko-białoruską tajemniczy balon. Urządzenie zostało szybko przejęte i zabezpieczone. Pogranicznicy pokaza,"https://geekweek.interia.pl/technologia/news-tajemniczy-balon-nad-granica-straznicy-pokazali-co-zawiera,nId,7383637",Technologia
"Przydomowa elektrownia wiatrowa. Jak działa, ile kosztuje i czy się opłaca?","Pogoda w Polsce nie rozpieszcza, niekiedy fundując nam porywisty wiatr i chłód. A gdyby wykorzystać aurę na swoją korzyść? Warunki pogodowe mogą bowiem pomóc nam w oszczędzaniu pieniędzy. Wystarczy za","https://geekweek.interia.pl/technologia/news-przydomowa-elektrownia-wiatrowa-jak-dziala-ile-kosztuje-i-cz,nId,7193157",Technologia
Takie rzeczy nie tylko w filmach. Transformujący dron Transwing,"Ten bezzałogowy statek powietrzny zmienia formę w locie i jest w stanie autonomicznie lądować na ruchomych celach. Jego niezwykłe umiejętności zwróciły uwagę amerykańskiego wojska, które testuje właśn","https://geekweek.interia.pl/technologia/news-takie-rzeczy-nie-tylko-w-filmach-transformujacy-dron-transwi,nId,7140701",Technologia
Sprzedajesz na Allegro Lokalnie? Mamy złe wieści,"Allegro Lokalnie to miejsce, gdzie można znaleźć wiele przedmiotów od prywatnych sprzedawców. Właściciele platformy planują jednak utrudnić im dotarcie do szerokiego grona potencjalnych klientów. Już","https://geekweek.interia.pl/technologia/news-sprzedajesz-na-allegro-lokalnie-mamy-zle-wiesci,nId,7747681",Technologia
LG kończy pewną erę. Ucieka z rynku odtwarzaczy płyt,"Choć większość z Was zapewne dawno już zapomniała o oglądaniu filmów na płytach, przerzucając się całkowicie na serwisy streamingowe, to jednak wciąż istnieje spora grupa osób, która preferuje bardzie","https://geekweek.interia.pl/technologia/news-lg-konczy-pewna-ere-ucieka-z-rynku-odtwarzaczy-plyt,nId,20355724",Technologia
"Android muli? Proste triki, żeby zwolnić pamięć w telefonie","Smartfon zaczyna działać coraz wolniej, a komunikaty o braku miejsca na dysku pojawiają się z niepokojącą regularnością? W dobie, gdy telefony pełnią funkcję przenośnych komputerów, problem zapełnione","https://geekweek.interia.pl/technologia/news-android-muli-proste-triki-zeby-zwolnic-pamiec-w-telefonie,nId,7861576",Technologia
"Jak znaleźć pobrane pliki w telefonie? Gdzieś są, lecz nie wiadomo gdzie","Choć większość z nas wie, gdzie szukać pobranych na telefon plików, to każdy przynajmniej raz poczuł ukłucie stresu, kiedy nie mógł akurat znaleźć potrzebnego na wczoraj dokumentu. Jeśli jesteś szcz","https://geekweek.interia.pl/technologia/news-jak-znalezc-pobrane-pliki-w-telefonie-gdzies-sa-lecz-nie-wia,nId,7150419",Technologia
W jakich godzinach jest tańszy prąd i kiedy najlepiej włączyć pralkę?,"Wychodzisz wcześnie, wracasz późno, a czas na pranie i prasowanie znajdujesz długo po wieczornych wiadomościach w TV? Jeśli taki jest twój plan dnia, to możesz sporo oszczędzić na rachunkach za prąd.","https://geekweek.interia.pl/technologia/news-w-jakich-godzinach-jest-tanszy-prad-i-kiedy-najlepiej-wlaczy,nId,7152691",Technologia
Ociekają złotem i diamentami. Telefony za miliony monet,"Technologia to już nie tylko wygoda, ale i wyznacznik statusu. Choć iPhone'y czy Samsungi Galaxy są drogie, to na rynku są telefony, które biją je na głowę ceną! Złoto, diamenty i astronomiczne kwoty.","https://geekweek.interia.pl/technologia/news-ociekaja-zlotem-i-diamentami-telefony-za-miliony-monet,nId,7777231",Technologia
