headline,category,content,url
Pierwszoligowiec reaguje po fatalnej rundzie. Wielkie czystki,sport,"8 grudnia Odra Opole wygrała na wyjeździe z Pogonią Siedlce 1:0 w 19. kolejce I ligi. Było to zaskakująco dobre zakończenie bardzo słabej rundy jesiennej w wykonaniu drużyny, która w sezonach 2021/22","https://www.sport.pl/pilka/7,65044,31552365,pierwszoligowiec-reaguje-po-fatalnej-rundzie-wielkie-czystki.html"
Bułka trafi do giganta? Borek mówi wprost: 'Naturalny kierunek',sport,,"https://www.sport.pl/pilka/7,65080,31552400,bulka-trafi-do-giganta-borek-mowi-wprost-naturalny-kierunek.html"
Cracovia zdecydowała. Tak uhonorują Janusza Filipiaka,sport,,"https://www.sport.pl/pilka/7,64946,31552080,cracovia-zdecydowala-tak-uhonoruja-janusza-filipiaka.html"
Hiszpanie ogłaszają ws. przyszłości Guardioli. Zero wątpliwości,sport,,"https://www.sport.pl/pilka/7,65080,31552014,hiszpanie-oglaszaja-ws-przyszlosci-guardioli-zero-watpliwosci.html"
Skandaliczna decyzja UEFA po meczu Omonia - Legia. Niebywałe...,sport,,"https://www.sport.pl/pilka/7,64946,31552016,skandaliczna-decyzja-uefa-po-meczu-omonia-legia-niebywale.html"
Polska będzie miała kolejny nowoczesny stadion! Rada miasta zdecydowała,sport,,"https://www.sport.pl/pilka/7,65044,31551768,polska-bedzie-miala-kolejny-nowoczesny-stadion-rada-miasta.html"
Mariusz Stępiński może wrócić do ekstraklasy! To byłby hit okienka,sport,,"https://www.sport.pl/pilka/7,64946,31551435,mariusz-stepinski-moze-wrocic-do-ekstraklasy-to-bylby-hit-okienka.html"
FC Barcelona może stracić wielką gwiazdę! Kierunek Premier League,sport,,"https://www.sport.pl/pilka/7,65082,31551739,fc-barcelona-moze-stracic-wielka-gwiazde-kierunek-premier-league.html"
Oni chcą sfinansować transfer Paula Pogby. Niebywała żenada...,sport,,"https://www.sport.pl/pilka/7,64946,31551507,oni-chca-sfinansowac-transfer-paula-pogby-niebywala-zenada.html"
Jest oficjalny komunikat ws. Mudryka! Chelsea potwierdza,sport,,"https://www.sport.pl/pilka/7,65080,31551612,jest-oficjalny-komunikat-ws-mudryka-chelsea-potwierdza.html"
Niemcy drżą przed Ewą Pajor. 'Wybitna',sport,,"https://www.sport.pl/pilka/7,64946,31551297,niemcy-drza-przed-ewa-pajor-wybitna.html"
