headline,category,content,url
"Polski poseł oszukany ""na policjanta"". Stracił 150 tysięcy",technologia,"Jak donosi Gazeta Wyborcza, na początku listopada jeden z polskich parlamentarzystów odebrał nietypowy telefon. Miał rozmawiać z policją, lecz trafił na oszustów. W efekcie stracił potężne pieniądze i","https://geekweek.interia.pl/bezpieczenstwo/news-polski-posel-oszukany-na-policjanta-stracil-150-tysiecy,nId,20355990"
Polska armia coraz silniejsza. Jest umowa na nowe Rosomaki,technologia,"Agencja Uzbrojenia podpisała umowę z konsorcjum, w skład którego wchodzi Huta Stalowa Wola S.A. oraz Rosomak S.A. na dostawę 80 wozów Rosomak-L. To najnowsza wersja sławnego polskiego transportera opa","https://geekweek.interia.pl/militaria/news-polska-armia-coraz-silniejsza-jest-umowa-na-nowe-rosomaki,nId,20355983"
mObywatel i moduł mStłuczka. Kiedy nowa funkcja dla kierowców?,technologia,"mObywatel to rządowa aplikacja, która z roku na rok wzbogacana jest o coraz więcej usług. W najbliższym czasie do platformy trafią nowe funkcje, które znacząco ułatwią załatwianie kolejnych spraw. W d","https://geekweek.interia.pl/technologia/news-mobywatel-i-modul-mstluczka-kiedy-nowa-funkcja-dla-kierowcow,nId,20355975"
"Jedziesz windą i jest awaria. Co robić, gdy zacznie spadać?",technologia,"Na kanale ratownika medycznego Marcina Borkosia Borkowskiego pojawiło się krótkie nagranie, w którym ekspert radzi, jak zachować się podczas awarii windy. Taka wiedza może okazać się nieoceniona. Co","https://geekweek.interia.pl/technologia/news-jedziesz-winda-i-jest-awaria-co-robic-gdy-zacznie-spadac,nId,20355914"
Chiny pokazały pierwszy na świecie hipersoniczny dron,technologia,"Chiny pochwaliły się materiałem filmowym, na którym pokazano jeden z testów pierwszego na świecie hipersonicznego drona MD-19. Maszyna może latać z ogromnymi prędkościami. Chińska armia zaskoczyła cał","https://geekweek.interia.pl/lotnictwo/news-chiny-pokazaly-pierwszy-na-swiecie-hipersoniczny-dron,nId,20355968"
Ukraińcy zaskoczyli Rosjan. Bombowiec z najgorszych koszmarów,technologia,"Siły Zbrojne Ukrainy pokazały swój zmodyfikowany samolot MiG-29, który teraz może przenosić cały zestaw potężnych amerykańskich bomb precyzyjnych GBU-39. Ukraińska armia zaskoczyła Rosjan. Okazuje się","https://geekweek.interia.pl/lotnictwo/news-ukraincy-zaskoczyli-rosjan-bombowiec-z-najgorszych-koszmarow,nId,20355969"
Tak mogą wyglądać najnowsze czołgi Abrams dla Polski,technologia,"W serwisach społecznościowych pojawiły się pierwsze zdjęcia najnowszych i najpotężniejszych amerykańskich czołgów Abrams M1A2 w wersji SEPv3. Właśnie tak mogą wyglądać maszyny, które trafią do Polski.","https://geekweek.interia.pl/militaria/news-tak-moga-wygladac-najnowsze-czolgi-abrams-dla-polski,nId,20355965"
Robo-krab gra w tenisa stołowego z medalistką olimpijską,technologia,"Coraz częściej piszemy o tym, że roboty i sztuczna inteligencja zdobywają przewagę nad człowiekiem, ale są jeszcze kategorie, w których wciąż nie mają szans, chociaż idzie im coraz lepiej. A jedną z n","https://geekweek.interia.pl/roboty/news-robo-krab-gra-w-tenisa-stolowego-z-medalistka-olimpijska,nId,20355925"
KTO Rosomak w akcji. Polska broń daje popalić Rosjanom,technologia,"Do sieci trafiło widowiskowe nagranie z ostrzelania rosyjskich pozycji przez transporter opancerzony KTO Rosomak. To polska konstrukcja, będąca jednym z najważniejszych form wsparcia Ukrainy. Skuteczn","https://geekweek.interia.pl/militaria/news-kto-rosomak-w-akcji-polska-bron-daje-popalic-rosjanom,nId,20355902"
Kiedy urodzi się ostatni człowiek na Ziemi? Padła data,technologia,"Wizjonerzy i przepowiadacze przyszłości mają wiele do powiedzenia na temat ludzi i naszej planety. Jeden z nich wyjawił, kiedy urodzi się ostatni człowiek na Ziemi. Co ciekawe, później wcale nie czeka","https://geekweek.interia.pl/technologia/news-kiedy-urodzi-sie-ostatni-czlowiek-na-ziemi-padla-data,nId,20355927"
