headline,category,content,url
Intel w opłakanym stanie i na ustach innych prezesów. Pat Gelsinger zawiódł,technologia,"Od lat nie było w świecie big tech takiej porażki, do jakiej doprowadził Pat Gelsinger, były już dyrektor generalny Intela. Akcje spółki spadły tylko w tym roku o blisko 60 proc., a z jej kapitalizacj",https://businessinsider.com.pl/technologie/nowe-technologie/intel-w-oplakanym-stanie-i-na-ustach-innych-prezesow-niepotrzebnie-chcieli-stac-sie/tkybj50
Niemiecki czempion wyda 720 mln dol. na przejęcie. Ruszy na podbój USA,technologia,"W przypadku awarii komputera często zdarza się, że specjalista z działu IT łączy się zdalnie i przejmuje kontrolę nad urządzeniem, aby spróbować naprawić usterkę. Często wykorzystuje wówczas aplikację",https://businessinsider.com.pl/technologie/nowe-technologie/niemiecki-czempion-wyda-720-mln-dol-na-przejecie-ruszy-na-podboj-usa/d8vlnyl
"Polski menedżer znajdzie się w zarządzie Santander Holdings USA. ""Nie udałoby się bez wsparcia technologii"" [WYWIAD]",technologia,"Patryk Nowakowski, head of technology & operations i członek zarządu Santander Bank Polska, wypracował doskonałe wyniki w kontekście transformacji cyfrowej — były na tyle dobre, że zaproponowano mu ob",https://businessinsider.com.pl/technologie/nowe-technologie/patryk-nowakowski-o-transformacji-cyfrowej-w-nagrode-przeniesie-sie-do-santander/qkzt6tj
"Microsoft Recall zapisuje nawet numery kart kredytowych. ""Wyłącz natychmiast""",technologia,"Funkcja Recall, w Polsce nazwana po prostu Przypomnienie, opiera się na AI i miała zapewniać lepszą pracę z komputerem. W praktyce przechwytuje zrzuty ekranu nawet z wrażliwymi informacjami, takimi",https://businessinsider.com.pl/technologie/nowe-technologie/microsoft-recall-zapisuje-nawet-numery-kart-kredytowych-wylacz-natychmiast/41vg72s
Dlaczego Tajwan zdominował produkcję chipów? Odpowiedź nie spodoba się Europie,technologia,"Tajwan utrzymuje swoją dominację w produkcji półprzewodników. Dlaczego? Zdaniem szefa Narodowej Rady Nauki i Technologii Tajwanu, Wu Cheng-Wena odpowiedzią jest etyka pracy na wyspie. W wielu wolnych",https://businessinsider.com.pl/technologie/nowe-technologie/dlaczego-tajwan-zdominowal-produkcje-chipow-odpowiedz-nie-spodoba-sie-europie/cg2s9vm
Intel nie zaprzecza. Możliwy dramatyczny podział firmy,technologia,"Dyrektor finansowy Intela, Dave Zinsner, powiedział, że formalne oddzielenie działów fabryki i rozwoju produktów firmy jest otwartą kwestią, o której zdecyduje następny CEO. Zinsner, który pełni funkc",https://businessinsider.com.pl/technologie/nowe-technologie/intel-nie-zaprzecza-mozliwy-dramatyczny-podzial-firmy/8f42ybl
Skoda z poważnym problem. Opcja włamania się w zasięgu 10 metrów,technologia,Badacze ds. bezpieczeństwa odkryli wiele luk w jednostkach infotainment używanych w niektórych samochodach Skoda. Mogą one pozwolić atakującym na zdalne uruchamianie określonych funkcji i śledzenie lo,https://businessinsider.com.pl/technologie/nowe-technologie/skoda-z-powaznym-problem-opcja-wlamania-sie-w-zasiegu-10-metrow/v5vhpw6
Rynek start-upów znów rośnie. Na jakie wsparcie mogą liczyć innowacyjne biznesy?,technologia,"Po trwającym kilkanaście miesięcy zastoju, polski rynek start-upów w końcu mocno się ożywił – wynika z danych Polskiego Funduszu Rozwoju. Finansowanie i wsparcie mentorskie to klucz do rozwoju innowac",https://businessinsider.com.pl/technologie/nowe-technologie/rynek-start-upow-znow-rosnie-na-jakie-wsparcie-moga-liczyc-innowacyjne-biznesy/1cydrh5
Cztery dobre smartwatche z płatnościami zbliżeniowymi,technologia,"Płatności zbliżeniowe cieszą się w Polsce ogromną popularnością. Często wykorzystujemy do tego celu smartfony, a coraz częściej — również smartwatche. Zaawansowane modele tych urządzeń są wyposażone w",https://businessinsider.com.pl/technologie/nowe-technologie/cztery-dobre-smartwatche-z-platnosciami-zblizeniowymi/nr6mf5f
"Żadne miliardy nie pomogą, jeśli nie zmienimy mentalności w sprawie cyfryzacji i technologii [OPINIA]",technologia,"Do 2030 r. mamy wydać jako kraj ponad 100 mld zł na cyfryzację i doprowadzić do sytuacji, że będziemy mieć co najmniej 1,5 mln specjalistów od technologii informacyjnych i komunikacyjnych. Obietnice i",https://businessinsider.com.pl/technologie/nowe-technologie/zadne-miliardy-nie-pomoga-jesli-nie-zmienimy-mentalnosci-w-sprawie-cyfryzacji-i/gndv32x
"1,4 mld euro z Unii na innowacje. Polskie sukcesy w programie",technologia,"W 2025 r. Europejska Rada ds. Innowacji (EIC) przeznaczy ponad 1,4 mld euro na rozwój strategicznych technologii, przełomowych badań i innowacyjnych przedsiębiorstw. Program oferuje wsparcie dla proje",https://businessinsider.com.pl/technologie/nowe-technologie/14-mld-euro-z-unii-na-innowacje-polskie-sukcesy-w-programie/9xe8wwd
"AI rozpycha się w poznańskiej fabryce Unilever. ""Zużywamy aż 5 tys. ton wody mniej"" [WYWIAD]",technologia,"Monika Budna, digital and manufacturing excellence manager w Unilever, wyjaśnia, w jaki sposób sztuczna inteligencja poprawia efektywność poznańskiej fabryki. Poznajemy też podejście Unilever w kontek",https://businessinsider.com.pl/technologie/nowe-technologie/ai-rozpycha-sie-w-poznanskiej-fabryce-unilever-zuzywamy-az-5-tys-ton-wody-mniej/f5pj5j1
To podstawa bezpiecznych zakupów. Zwróć na to uwagę i ochroń swoje pieniądze,technologia,"Łatwo stracić czujność w wyprzedażowym szale. Kolejne świąteczne oferty kuszą, a my – zagonieni i działający pod presją – często zapominamy o podstawowych zasadach bezpieczeństwa. To niestety czas żni",https://businessinsider.com.pl/technologie/nowe-technologie/jak-uniknac-oszustw-podczas-swiatecznych-zakupow-praktyczny-przewodnik/589927p
"OpenAI pozwoli na tworzenie filmów. Debiutuje Sora, ale Polacy nie skorzystają",technologia,"Twórca ChatGPT, OpenAI, udostępnił swoje narzędzie do generowania wideo o nazwie Sora. Z najnowszej AI skorzystają posiadacze kont ChatGPT Plus i Pro. Niestety, nowość nie jest oferowana na terenie Un",https://businessinsider.com.pl/technologie/nowe-technologie/openai-pozwoli-na-tworzenie-filmow-debiutuje-sora-ale-polacy-nie-skorzystaja/0lc5q0r
Były szef Intela prosi o modlitwę i post za pracowników,technologia,"Były dyrektor generalny Intela, Pat Gelsinger, poprosił w niedzielę ludzi o modlitwę i post za 100 tys. pracowników producenta chipów, podczas gdy inwestorzy zastanawiają się nad przyszłością giganta",https://businessinsider.com.pl/technologie/nowe-technologie/byly-szef-intela-poprosil-o-modlitwe-i-post-za-pracownikow/t0qf6v4
"Największy bank w Polsce ostrzega klientów. ""To oszustwo""",technologia,"PKO BP zwraca uwagę na kolejne próby oszustwa ze strony cyberprzestępców, którzy wysyłają wiadomości e-mail podszywające się pod bank. W fałszywych wiadomościach, odnoszących się do aktywacji potwierd",https://businessinsider.com.pl/technologie/nowe-technologie/najwiekszy-bank-w-polsce-ostrzega-klientow-to-oszustwo/3dpqdzq
Rewolucja w meblarstwie: z odpadów do luksusowych wnętrz,technologia,"Czy wyobrażasz sobie świat, w którym ekskluzywne meble są tworzone lokalnie, na zamówienie, z minimalnym wpływem na środowisko? Właśnie w ten sposób działa Model No., firma wykorzystująca innowacyjne",https://businessinsider.com.pl/technologie/nowe-technologie/rewolucja-w-meblarstwie-z-odpadow-do-luksusowych-wnetrz/qfvglsy
"""Fundraising w Polsce to okropność"" Tak znalazł sposób by trafić z firmą do Las Vegas",technologia,"Zbieranie funduszy w Rumunii czy Polsce jest okropne. W całej Europie jest z tym trudniej niż w USA. Za każdym razem, gdy przedstawiamy wizję, znajdzie się 150 funduszy, które powiedzą, że to bzdura i",https://businessinsider.com.pl/technologie/nowe-technologie/fundraising-w-polsce-to-okropnosc-dzis-pracuje-z-nvidia-i-amazon/v578c4x
Po czym poznać słabą firmę AI? Wiceszef technologicznego giganta zadaje to jedno pytanie,technologia,"Sztuczna inteligencja ma potencjał by być większa niż Internet pod względem budowania potężnych firm — twierdzi w rozmowie z Business Insider Polska Jon Jones, wiceprezes Amazon Web Services. Szef AWS",https://businessinsider.com.pl/technologie/nowe-technologie/po-czym-poznac-slabe-firmy-ai-wiceszef-giganta-zadaje-im-to-jedno-pytanie/62ssmnl
