headline,category,url
"""Własny, suwerenny internet"". Putin testuje nowe rozwiązanie. ""Może całkowicie odizolować rosyjskich użytkowników od reszty świata""",technologia,https://wiadomosci.onet.pl/swiat/putin-wszedl-na-nowy-poziom-cenzury-wlasnie-tworzy-wlasny-internet/zyfwv2l
Mała zmiana w ustawie. Może pociągnąć za sobą miliardowe skutki,technologia,https://wiadomosci.onet.pl/kraj/zmiany-w-przepisach-o-cyberbezpieczenstwie-chodzi-o-dostawcow-wysokiego-ryzyka/mmxmygj
Jak naładować telefon bez ładowarki? Jest kilka sprawdzonych sposobów,technologia,https://wiadomosci.onet.pl/kraj/brak-ladowarki-to-nie-problem-sprawdz-jak-latwo-podladowac-telefon/m93e97s
"""Żądło w ogonie"" chińskiego smoka. Jeśli wygra tę wojnę z Wujem Samem, konsekwencje dla świata będą poważne",technologia,https://wiadomosci.onet.pl/swiat/dwa-supermocarstwa-walcza-o-wplywy-usa-juz-nie-naprawia-bledu-trumpa/n8s83vs
Czy telefon trzeba ładować do pełna,technologia,https://wiadomosci.onet.pl/ciekawostki/czy-telefon-trzeba-ladowac-do-pelna/gejmbg6
Psy-roboty wypełnią braki w ukraińskiej armii. Wkrótce mogą trafić na front,technologia,https://wiadomosci.onet.pl/swiat/psy-roboty-zastapia-ukrainskich-zwiadowcow/gh0l3qv
W sieci pojawiły się zdjęcia rosyjskiej konsoli do gier. Konsola prawdopodobnie jednak nie istnieje i nie powstanie,technologia,https://wiadomosci.onet.pl/swiat/w-sieci-pojawily-sie-zdjecia-rosyjskiej-konsoli-do-gier-konsola-prawdopodobnie-jednak/1ll7g4n
"Rosyjska rakieta, która spadła na szpital dziecięcy w Kijowie, miała w sobie amerykański czip",technologia,https://wiadomosci.onet.pl/swiat/rosyjska-rakieta-ktora-spadla-na-szpital-dzieciecy-w-kijowie-miala-w-sobie/ejthvv5
"Szwajcarski producent sportowych butów opracował proces, który pozwala na wyprodukowanie buta w kilka minut",technologia,https://wiadomosci.onet.pl/swiat/szwajcarski-producent-sportowych-butow-opracowal-proces-ktory-pozwala-na/8kps4l9
"""Jesteśmy na początku nowej wielkiej fali"". Oto prognozy byłego dyrektora Światowej Organizacji Handlu",technologia,https://wiadomosci.onet.pl/swiat/jestesmy-na-poczatku-nowej-wielkiej-fali-oto-prognozy-bylego-dyrektora-wto/94cvfgw
Europa traci grunt pod nogami w kluczowych obszarach. W tym konflikcie już dawno została w tyle [OPINIA],technologia,https://wiadomosci.onet.pl/swiat/technologiczna-zimna-wojna-chin-i-usa-europa-juz-dawno-zostala-w-tyle/gwzgl9y
Jak przyciągnąć przyszłych studentów? Politechnika Śląska z intrygującym wydarzeniem,technologia,https://wiadomosci.onet.pl/slask/labopenday-2024-w-gliwicach-zabrzu-i-katowicach-dni-otwarte-politechniki-slaskiej/3w2twyb
Trwa nowy etap międzynarodowej wojny o półprzewodniki,technologia,https://wiadomosci.onet.pl/swiat/trwa-nowy-etap-miedzynarodowej-wojny-o-polprzewodniki/ycbeggn
"Niemiecka fregata otworzyła ogień do amerykańskiego drona. To nie był przypadkowy incydent. Oto wybuchowa lista usterek ""dumy Berlina""",technologia,https://wiadomosci.onet.pl/swiat/niemiecka-fregata-otworzyla-ogien-do-amerykanskiego-drona-to-nie-byl-przypadkowy/r7jg3fy
