headline,category,content,url
Ważny apel Donalda Tuska do zachodnich przywódców. 'Przestańcie spekulować',wiadomosci,"Donald Tusk zaapelował ws. Ukrainy: We wtorek 17 grudnia Donald Tusk spotkał się z Wołodymyrem Zełenskim we Lwowie w Ukrainie. Później odbyła się konferencja prasowa, podczas której premier zaapelował","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31552865,wazny-apel-donalda-tuska-do-zachodnich-przywodcow-przestancie.html"
Ten wniosek zatrzymał wypłatę pieniędzy dla PiS. PKW postawiła warunek,wiadomosci,"PiS nadal nie dostanie pieniędzy: Państwowa Komisja Wyborcza odrzuciła sprawozdanie finansowe Komitetu Wyborczego PiS za wybory parlamentarne w 2023 roku, ale partia złożyła skargę do Izby Kontroli Na","https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552526,ten-wniosek-zatrzymal-wyplate-pieniedzy-dla-pis-pkw-postawila.html"
Dramatyczne chwile w Rydułtowach. Matka nie zdążyła wyjąć syna z pociągu. 2-latek pojechał dalej sam,wiadomosci,"Szczegóły zdarzenia: Do zdarzenia doszło 12 grudnia na stacji kolejowej w Rydułtowach (woj. śląskie) niedaleko Rybnika. Kobieta wyjęła wózek dziecka, jednak nie zdążyła przed odjazdem zabrać z pociągu","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31552329,dramatyczne-chwile-w-rydultowach-matka-nie-zdazyla-wyjac-syna.html"
120 tys. km w rok w ramach służbowych delegacji. Śledczy badają sprawę prokuratora od Ziobry,wiadomosci,Działania prokuratury: We wtorek 17 grudnia Prokuratura Okręgowa w Nowym Sączu poinformowała o wszczęciu postępowania w sprawie niedopełnienia obowiązków i przekroczenia uprawnień przez byłego Prokur,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552753,120-tys-km-w-rok-w-ramach-sluzbowych-delegacji-prokuratura.html"
Dramat w restauracji. 'Ona się dusi'. Policjant ruszył na pomoc kilkumiesięcznemu dziecku,wiadomosci,Co się stało: W piątek 22 listopada jeden z mrągowskich policjantów brał udział w szkoleniu w Olsztynie (woj. warmińsko-mazurskie). W przerwie udał się do restauracji. W pewnym momencie w lokalu rozle,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551522,dramat-w-restauracji-ona-sie-dusi-policjant-ruszyl-na-pomoc.html"
Biejat o adopcji przez pary jednopłciowe i kredycie 0 proc. Tego nigdy nie zaakceptuje,wiadomosci,"Co się dzieje: Wicemarszałkini Senatu Magdalena Biejat, która kandyduje na urząd prezydenta, w rozmowie z PAP zadeklarowała, że podpisałaby ustawę umożliwiającą adopcję parom jednopłciowym. Jak podkre","https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552084,biejat-o-adopcji-przez-pary-jednoplciowe-i-kredycie-0-proc.html"
Małpia ospa w Niemczech. Wirus został wykryty u dzieci. Zamknięto szkołę,wiadomosci,Zamknięta szkoła: Według doniesień Bild szkoła w Rösrath w pobliżu Kolonii (Niemcy) została zamknięta. Powodem było wykrycie wirusa mpox u dwojga dzieci. W związku z tym uczniowie rozpoczęli naukę w,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31552237,malpia-ospa-w-niemczech-wirus-zostal-wykryty-u-dzieci-zamknieto.html"
Śmierć Kanadyjczyka na komisariacie. Prokuratorzy złożyli kluczowy dla sprawy wniosek,wiadomosci,"Śmierć Kanadyjczyka w Krakowie: 4 grudnia 23-letni Kanadyjczyk popełnił samobójstwo na komisariacie policji przy ulicy Szerokiej na krakowskim Kazimierzu po tym, jak wyrwał jednemu z policjantów broń","https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551951,smierc-kanadyjczyka-na-komisariacie-prokuratorzy-zlozyli-kluczowy.html"
Moskwa. Rosyjski generał zginął w wyniku eksplozji hulajnogi. Do sieci wyciekło nagranie,wiadomosci,"Co się stało: We wtorek 17 grudnia rano media poinformowały, że generał Igor Kiriłłow, szef rosyjskich Wojsk Obrony Radiacyjnej, Chemicznej i Biologicznej, zginął w wybuchu bomby w Moskwie. Ładunek uk","https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31552104,eksplozja-w-moskwie.html"
Zabójstwo nauczycielki w Łodzi. Przez lata szukano mordercy. Jest ruch prokuratury,wiadomosci,,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551147,zabojstwo-nauczycielki-w-lodzi-przez-lata-szukano-mordercy.html"
