headline,category,url
Ważny apel Donalda Tuska do zachodnich przywódców. 'Przestańcie spekulować',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31552865,wazny-apel-donalda-tuska-do-zachodnich-przywodcow-przestancie.html"
Ten wniosek zatrzymał wypłatę pieniędzy dla PiS. PKW postawiła warunek,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552526,ten-wniosek-zatrzymal-wyplate-pieniedzy-dla-pis-pkw-postawila.html"
Dramatyczne chwile w Rydułtowach. Matka nie zdążyła wyjąć syna z pociągu. 2-latek pojechał dalej sam,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31552329,dramatyczne-chwile-w-rydultowach-matka-nie-zdazyla-wyjac-syna.html"
120 tys. km w rok w ramach służbowych delegacji. Śledczy badają sprawę prokuratora od Ziobry,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552753,120-tys-km-w-rok-w-ramach-sluzbowych-delegacji-prokuratura.html"
Dramat w restauracji. 'Ona się dusi'. Policjant ruszył na pomoc kilkumiesięcznemu dziecku,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551522,dramat-w-restauracji-ona-sie-dusi-policjant-ruszyl-na-pomoc.html"
Biejat o adopcji przez pary jednopłciowe i kredycie 0 proc. Tego nigdy nie zaakceptuje,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552084,biejat-o-adopcji-przez-pary-jednoplciowe-i-kredycie-0-proc.html"
Małpia ospa w Niemczech. Wirus został wykryty u dzieci. Zamknięto szkołę,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31552237,malpia-ospa-w-niemczech-wirus-zostal-wykryty-u-dzieci-zamknieto.html"
Śmierć Kanadyjczyka na komisariacie. Prokuratorzy złożyli kluczowy dla sprawy wniosek,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551951,smierc-kanadyjczyka-na-komisariacie-prokuratorzy-zlozyli-kluczowy.html"
Moskwa. Rosyjski generał zginął w wyniku eksplozji hulajnogi. Do sieci wyciekło nagranie,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31552104,eksplozja-w-moskwie.html"
Zabójstwo nauczycielki w Łodzi. Przez lata szukano mordercy. Jest ruch prokuratury,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551147,zabojstwo-nauczycielki-w-lodzi-przez-lata-szukano-mordercy.html"
Wołodymyr Zełenski spotka się z Donaldem Tuskiem. Padła data,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31552176,wolodymyr-zelenski-spotka-sie-z-tuskiem-padla-data.html"
Papież Franciszek ujawnił kulisy wizyty w Iraku. 'Udaremniono dwa zamachy',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31551595,papiez-franciszek-ujawnil-kulisy-wizyty-w-iraku-udaremniono.html"
Eksplozje w Moskwie i śmierć generała. Miedwiediew wskazał winnych i grozi konsekwencjami,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31551698,eksplozje-w-moskwie-i-smierc-generala-miedwiediew-wskazal-winnych.html"
Amerykańska broń gotowa do działania? Jest wstępna gotowość operacyjna dwóch baterii Patriot,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551639,amerykanska-bron-gotowa-do-dzialania-jest-wstepna-gotowosc.html"
"Gdzie jest Romanowski? Ekspert: 'Służby wiedzą, gdzie jest'. Jest jednak 'problem'",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31551203,gdzie-jest-romanowski-ekspert-sluzby-wiedza-gdzie-jest.html"
"Co dalej z ministrem Wieczorkiem? Nieoficjalnie: Wiadomo, kto może go zastąpić",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31551194,co-dalej-z-ministrem-wieczorkiem-nieoficjalnie-wiadomo-kto.html"
Krzysztof Dymiński nadal poszukiwany. Jego matka opublikowała zdjęcie. 'Tylko to chcemy wiedzieć',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551346,krzysztof-dyminski-nadal-poszukiwany-jego-matka-opublikowala.html"
Wielki pożar na Podkarpaciu. Pali się opuszczona hala produkcyjna,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551389,wielki-pozar-na-podkarpaciu-pali-sie-opuszczona-hala-produkcyjna.html"
Rosja bez cienia wątpliwości: NATO szykuje się do wojny w Europie. Minister wydał polecenie,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550906,rosja-bez-cienia-watpliwosci-nato-szykuje-sie-do-wojny-w-europie.html"
Wygłodzona trzylatka ważyła 8 kg. Zatrzymano rodziców dziewczynki,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31551219,wyglodzona-trzylatka-wazyla-8-kg-zatrzymano-rodzicow-dziewczynki.html"
Nowy skandal w rodzinie królewskiej. Książę Andrzej nie weźmie udziału w spotkaniu świątecznym,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550922,nowy-skandal-w-rodzinie-krolewskiej-ksiaze-andrzej-nie-wezmie.html"
Kilometrówek ciąg dalszy. 'GW': Prokurator od Ziobry w ciągu roku trzy razy 'okrążył' Ziemię,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550845,kilometrowek-ciag-dalszy-gw-prokurator-od-ziobry-w-ciagu.html"
Jarosław Gugała znika z Polsat News. Dostał program w innej stacji. 'Polityków nie będę zapraszał',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31550947,jaroslaw-gugala-znika-z-polsat-news-dostal-program-w-innej.html"
"Dywersanci, drony i HIMARS. Ukraińcy chwalą się rzadkim atakiem na pociąg",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31548538,dywersanci-drony-i-himars-ukraincy-chwala-sie-rzadkim-atakiem.html"
Ruch PKW ws. PiS. Adam Bodnar komentuje. 'Jesteśmy w trudnej sytuacji',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550835,ruch-pkw-ws-pis-adam-bodnar-komentuje-jestesmy-w-trudnej.html"
"KO i PiS na czele, ale nie wśród najmłodszych wyborów. Duży skok jednej partii [SONDAŻ]",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550804,ko-i-pis-na-czele-ale-nie-wsrod-najmlodszych-wyborow-duzy.html"
Tajemnicze drony nad USA. Trump uderza w rządzących: Chcą trzymać ludzi w napięciu,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550780,tajemnicze-drony-nad-usa-trump-uderza-w-rzadzacych-chca-trzymac.html"
USA. Strzały w klasie. Są zabici i ranni. Zidentyfikowano sprawczynię. To 15-letnia uczennica,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550764,usa-strzaly-w-klasie-sa-zabici-i-ranni-zidentyfikowano-sprawczynie.html"
Tragiczny wypadek na Podlasiu. Pilny apel policji po śmierci trzech nastolatków,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31550772,tragiczny-wypadek-na-podlasiu-pilny-apel-policji-po-smierci.html"
Wybuchy w Moskwie. Nie żyje rosyjski generał. Ukraina oskarżyła go o użycie broni chemicznej,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550785,wybuchy-w-moskwie-media-nie-zyje-rosyjski-general-i-jego-asystent.html"
Nieugięty sędzia nie daje za wygraną. Odrzucił wniosek Trumpa w sprawie pieniędzy dla Stormy Daniels,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550754,nieugiety-sedzia-nie-daje-za-wygrana-odrzucil-wniosek-trumpa.html"
Do kiedy wystawienie ocen za pierwszy semestr? Uczniowie mają kilka tygodni,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31483180,do-kiedy-wystawienie-ocen-za-pierwszy-semestr-uczniowie-maja.html"
Media: Król Karol III przyjedzie do Polski. Kiedy? Padła konkretna data,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550558,media-krol-karol-iii-przyjedzie-do-polski-kiedy-padla-konkretna.html"
Donald Trump może cofnąć ważną decyzję Bidena. Niepokojące plany wobec Ukrainy,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550455,donald-trump-moze-cofnac-wazna-decyzje-bidena-niepokojace-plany.html"
Nerwowo w 'Kropce nad I'. Biejat w ogniu pytań Olejnik. 'Czy to nie kompromitujące?',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550489,nerwowo-w-kropce-nad-i-biejat-w-ogniu-pytan-olejnik-czy.html"
Ważą się losy ministra Wieczorka. Nieoficjalnie: Tusk dał Czarzastemu kilka dni,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550311,zapadla-decyzja-ws-ministra-nauki-dariusza-wieczorka-tusk.html"
Syn Jacka Kurskiego pozywa Donalda Tuska i TVP. Mówi o 'oszczerstwie i szantażu',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550373,syn-jacka-kurskiego-pozywa-donalda-tuska-nie-zgwalcilem.html"
"PSL zgodzi się na związki partnerskie? Kotula po spotkaniu ze Zgorzelskim: Widać, że jest zmiana",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550385,psl-zgodzi-sie-na-zwiazki-partnerskie-kotula-po-spotkaniu-ze.html"
Jest ruch obrońcy Romanowskiego. Do sądu wpłynęło pismo w sprawie zatrzymania polityka PiS,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550374,poszukiwania-marcina-romanowskiego-obronca-polityka-pis-zlozyl.html"
Strzelanina w szkole w Wisconsin. Są ofiary śmiertelne,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31550422,strzelanina-w-szkole-w-wisconsin-sa-ofiary-smiertelne.html"
Andrzej Duda wściekły po decyzji PKW. Mówi o 'postkomunistycznej hydrze'. 'Nie zaprzestanę tej walki',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550272,andrzej-duda-wsciekly-po-decyzji-pkw-mowi-o-postkomunistycznej.html"
Został skazany w sprawie organizacji lotu do Smoleńska. Teraz go uniewinniono,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31550282,zostal-skazany-w-sprawie-organizacji-lotu-do-smolenska-teraz.html"
"Masą biegiem przez pola. Ukraińcy twierdzą, że doświadczyli pierwszej ludzkiej fali z Korei Północnej",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31549299,masa-biegiem-przez-pola-ukraincy-twierdza-ze-doswiadczyli.html"
Andrzej Duda w MKOl-u? Komitet zaskoczony upublicznieniem tej informacji,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550214,andrzej-duda-w-mkol-u-komitet-zaskoczony-upublicznieniem-tej.html"
Gwałt w Warszawie. Dorian S. doprowadzony na drugą rozprawę. Jego ojciec padł na kolana,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31550134,gwalt-w-warszawie-dorian-s-doprowadzony-na-druga-rozprawe.html"
Kaczyński ostro o decyzji PKW w sprawie PiS. Znów prosi o pieniądze. 'Nasza cierpliwość się skończyła',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31550023,kaczynski-o-decyzji-pkw-calkowicie-bezprawna-prezes-pis-zbiera.html"
"TVP chciała obalić fake newsa, a sama dała się nabrać. Pokazano nieprawdziwy materiał Gazeta.pl",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548531,tvp-chciala-obalic-fake-newsa-a-sama-dala-sie-nabrac-pokazano.html"
"Olaf Scholz bez wotum zaufania, ale taki był plan. Opozycja mówi o 'dniu ulgi dla Niemiec'",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,127561,31550060,olaf-scholz-bez-wotum-zaufania-opozycja-mowi-o-dniu-ulgi-dla.html"
"Episkopat reaguje na doniesienia ws. nowej umowy z TVP. Jest 'wola dialogu', ale są też oczekiwania",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548215,episkopat-reaguje-na-doniesienia-ws-nowej-umowy-z-tvp-jest.html"
Co Polacy myślą o Nawrockim? 'Stracił w opinii co piątej kobiety' [Sondaż],wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31549600,co-polacy-mysla-o-nawrockim-stracil-w-opinii-co-piatej-kobiety.html"
"W co gra Scholz? Sprytne zagranie, które zadziałało w przeszłości",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31548827,w-co-gra-scholz-sprytne-zagranie-ktore-zadzialalo-w-przeszlosci.html"
Niemcy. Głosowanie nad wotum zaufania dla Olafa Scholza. Znamy wynik,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31549988,niemcy-glosowanie-nad-wotum-zaufania-dla-olafa-scholza-znamy.html"
"Gdzie jest Marcin Romanowski? Media mówią o dwóch krajach. Prokuratura zdradza, kiedy poszukiwania w UE",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31549586,marcin-romanowski-uciekl-za-granice.html"
Baszar al-Asad wydał oświadczenie. Pierwsze od obalenia jego reżimu w Syrii,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31549880,baszar-al-asad-ujawnil-co-sie-z-nim-dzialo-po-obaleniu-rezimu.html"
Lecą głowy w ministerstwie Wieczorka. Jego losy też się ważą,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548897,leca-glowy-w-ministerstwie-wieczorka-jego-losy-tez-sie-waza.html"
USA o wpisaniu TVN i Polsatu na listę podmiotów strategicznych. Mają jedną uwagę do Tuska,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31549320,usa-o-wpisaniu-tvn-i-polsatu-na-liste-podmiotow-strategicznych.html"
"Zabójstwo na terenie budowy Orlenu. Zatrzymano trzy osoby, koncern wydał oświadczenie",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548926,zabojstwo-na-terenie-budowy-orlenu-zatrzymano-trzy-osoby-koncern.html"
Alarm bombowy w fundacji Tadeusza Rydzyka w Warszawie. 'W treści wiadomości zawarto groźbę',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31549183,alarm-bombowy-w-fundacji-tadeusza-rydzyka-w-tresci-wiadomosci.html"
"Sąd zdecydował, co dalej z twórcą Amber Gold. Plichta wnioskował o przedterminowe zwolnienie",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548733,sad-zdecydowal-co-dalej-z-tworca-amber-gold-plichta-wnioskowal.html"
"Miliony z subwencji dla PiS. Jest ruch PKW, bezradny przewodniczący z apelem",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548987,miliony-z-subwencji-dla-pis-jest-ruch-pkw-bezradny-przewodniczacy.html"
Premier zareagował na medialne ustalenia ws. ataku hakerskiego. 'Nie pozwolimy',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548937,premier-zareagowal-na-medialne-ustalenia-ws-ataku-hakerskiego.html"
Druga tura i zdecydowane zwycięstwo. Kto wygra wybory prezydenckie? Jest nowy sondaż,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548455,druga-tura-i-zdecydowane-zwyciestwo-kto-wygra-wybory-prezydenckie.html"
Komisja do spraw Pegasusa. Były wiceszef CBA nie stawił się na przesłuchanie,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548487,komisja-do-spraw-pegasusa-byly-wiceszef-cba-nie-stawil-sie.html"
"Wstrząsająca zbrodnia na Mazowszu. Były policjant oskarżony o zabójstwo, miał pociąć ciało ofiary",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548415,wstrzasajaca-zbrodnia-na-mazowszu-byly-policjant-oskarzony.html"
Skrajnie wygłodzona trzylatka trafiła do szpitala. Jej stan jest bardzo ciężki,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548536,skrajnie-wyglodzona-trzylatka-trafila-do-szpitala-jej-stan.html"
Skrajnie wychłodzony mężczyzna trafił do szpitala. Termometr wskazał niecałe 20 stopni Celsjusza,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548206,skrajnie-wychlodzony-mezczyzna-trafil-do-szpitala-termometr.html"
"18-latki nigdy nie wróciły do domu. Po 24 latach wiadomo, co się z nimi stało",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31548053,przelom-w-sprawie-podwojnego-zabojstwa-sprzed-cwierc-wieku.html"
"Assada już nie ma, armii nie ma, a co jest? Wyjaśniamy, co z tą Syrią",wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547518,nie-ma-juz-assada-jest-niepewna-przyszlosc-wyjasniamy-co.html"
Czarzasty wyszedł ze szpitala i zwrócił się do Tuska. 'Dzięki za szybką reakcję',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548296,czarzasty-wyszedl-ze-szpitala-i-zwrocil-sie-do-tuska-dzieki.html"
Miał brutalnie zgwałcić Lizę w centrum Warszawy. Media dotarły do zeznań Doriana S. 'Byłem w amoku',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547805,mial-brutalnie-zgwalcic-lize-w-centrum-warszawy-media-dotarly.html"
Ostrzeżenie przed wiatrem w Polsce. Nawet do 176 km/h. Będzie sztorm na Bałtyku,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547860,ostrzezenie-przed-wiatrem-w-polsce-nawet-do-176-km-h-bedzie.html"
'Ostatni rozdział kanclerza'. Prasa o wotum zaufania dla Olafa Scholza. 'Historyczny moment',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,127561,31547821,prasa-o-wotum-zaufania-dla-olafa-scholza-putin-juz-szpera.html"
Jakimowicz rozmawiał z osobą oskarżaną o szpiegostwo na rzecz Rosji i Chin. 'Oczarowałem go',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547715,jakimowicz-rozmawial-z-osoba-oskarzana-o-szpiegostwo-na-rzecz.html"
Tragiczny wypadek na Pomorzu. 30-latka została potrącona przez dwa auta,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547856,tragiczny-wypadek-na-pomorzu-30-latka-zostala-potracona-przez.html"
Nieprawdziwe oświadczenie majątkowe Wieczorka. Tusk: Czas na decyzję ws. ministra,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31548034,nieprawdziwe-oswiadczenie-majatkowe-wieczorka-tusk-czas-na.html"
Nowe kłopoty Wieczorka. Media o nieprawdziwych informacjach w oświadczeniu majątkowym. 'Przepraszam',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547664,nowe-klopoty-wieczorka-media-o-nieprawdziwych-informacjach.html"
Nagła śmierć burmistrza i jego ojca w domu. Straż ma podejrzenia. 'Wszystko mogło się tam gotować',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547633,nagla-smierc-burmistrza-i-jego-ojca-w-domu-straz-ma-podejrzenia.html"
Gdzie jest Marcin Romanowski? Nieoficjalnie: Tak typuje policja,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547627,gdzie-jest-marcin-romanowski-nieoficjalnie-tak-typuje-policja.html"
'GW': Atak hakerski przed wyborami parlamentarnymi. Prawie 200 tys. SMS-ów 'GlosujNaPiS!',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547595,gw-atak-hakerski-przed-wyborami-parlamentarnymi-prawie-200.html"
Pożar żłobka w Tychach. W środku były dzieci,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547678,pozar-zlobka-w-tychach-w-srodku-byly-dzieci.html"
Najsilniejszy od ponad 90 lat cyklon uderzył w terytorium Francji. 'Jak po wojnie nuklearnej',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31547578,najsilniejszy-od-ponad-90-lat-cyklon-uderzyl-w-terytorium-francji.html"
Ukraińcy zmieniają zdanie o Polakach. Skończył się 'miesiąc miodowy' [SONDAŻ],wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114881,31547579,ukraincy-zmieniaja-zdanie-o-polakach-skonczyl-sie-miesiac.html"
Ogólnopolska awaria Centrum Powiadamiania Ratunkowego 112. Problemy z przyjmowaniem zgłoszeń,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547570,ogolnopolska-awaria-centrum-powiadamiania-ratunkowego-112-sa.html"
Sąd Najwyższy uznał skargę PiS ws. sprawozdania wyborczego. Dziś zebranie PKW,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547342,sad-najwyzszy-uznal-skarge-pis-ws-sprawozdania-wyborczego.html"
Niemcy poza NATO? Lider AfD apeluje do rządu. 'Rosja wygrała wojnę w Ukrainie',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,127561,31547059,niemcy-poza-nato-lider-afd-apeluje-do-rzadu-rosja-wygrala.html"
27-letni Michał zmarł po interwencji policji. Polsat News ujawnił szokujące nagranie z całego zajścia,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547470,27-letni-michal-zmarl-po-interwencji-policji-polsat-news-ujawnilo.html"
Obrońca Romanowskiego odpowiada Szczerbie. 'Poseł publicznie mi grozi',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547392,obronca-romanowskiego-odpowiada-szczerbie-posel-publicznie.html"
Stanowcze słowa kandydatki na prezydentkę. 'To był bardzo poważny błąd',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547404,stanowcze-slowa-kandydatki-na-prezydentke-to-byl-bardzo-powazny.html"
Zginęli na 'zakręcie śmierci' w wypadku pod Nowowolą. Były wójt chciał przebudować tę 'pułapkę',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547278,zgineli-na-zakrecie-smierci-w-wypadku-pod-nowowola-byly-wojt.html"
IMGW wydało ostrzeżenia drugiego stopnia. Dotyczą niemal całego kraju,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547249,imgw-wydalo-ostrzezenia-drugiego-stopnia-dotycza-niemal-calego.html"
Nagła śmierć 32-letniego burmistrza. Nie żyje także jego ojciec. Podano prawdopodobną przyczynę,wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547094,nagla-smierc-32-letniego-burmistrza-nie-zyje-takze-jego-ojciec.html"
Śląska policja znalazła półnagiego mężczyznę przy kościele. 'Trudno było nawiązać z nim kontakt',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114883,31547088,slaska-policja-znalazla-polnagiego-mezczyzne-przy-kosciele.html"
Zamieszanie wokół nowej posady Andrzeja Dudy. Jest i głos Mai Włoszczowskiej. 'Jest na to za wcześnie',wiadomosci,"https://wiadomosci.gazeta.pl/wiadomosci/7,114884,31547028,zamieszanie-wokol-nowej-posady-andrzeja-dudy-jest-i-glos-mai.html"
