headline,category,content,url
Burza wokół programu Sablewskiej. Doda ma teorię. 'Ktoś robi to za nią!',yapping,"- stwierdziła. Później wokalistka miała dla menedżerki pewną poradę. Program czasami polega na tym, że robią coś za ciebie, a ty jesteś tylko czegoś twarzą. (...) Maja ma taki styl, w którym nie s","https://www.plotek.pl/plotek/7,154063,31552487,widzowie-psiocza-na-metamorfozy-z-programu-sablewskiej-doda.html"
Jakub Rzeźniczak poruszony śmiercią byłej partnerki. Dodał wpis,yapping,,"https://www.plotek.pl/plotek/7,154063,31552875,jakub-rzezniczak-poruszony-smiercia-bylej-partnerki-zlozyl.html"
Sandra Kubicka nie zamierzała tego ukrywać. 'Pękające serce z tęsknoty...',yapping,Sandra Kubicka i Aleksander Baron jakiś czas temu powitali na świecie syna. Leonard przyszedł na świat przed planowanym terminem. Modelka szybko odnalazła się w roli matki i zaangażowała w pełni w rod,"https://www.plotek.pl/plotek/7,154063,31552507,sandra-kubicka-nie-zamierza-tego-ukrywac-pekajace-serce-z.html"
"Wprost zapytali Rozenek, ile przeszła operacji plastycznych, a tu... zonk. Ten wywiad to hit!",yapping,"Małgorzata Rozenek 17 grudnia stawiła się w Dzień dobry TVN, a obok niej na kanapie zasiadł chirurg plastyczny dr  Marek Szczyt. Celebrytka i lekarz pojawili się w śniadaniówce, by udzielić wywiadu,","https://www.plotek.pl/plotek/7,154063,31552236,wprost-zapytali-rozenek-ile-przeszla-operacji-plastycznych.html"
Ewelina Ślotała nie żyje. Dawna partnerka Rzeźniczaka miała 35 lat,yapping,Ewelina Ślotała jako jedna z nielicznych byłych partnerek Jakuba Rzeźniczaka wypowiadała się na jego temat w pozytywny sposób. Tym samym zdobyła rozgłos w mediach. Zasłynęła również jako autorka książ,"https://www.plotek.pl/plotek/7,154063,31552532,ewelina-slotala-nie-zyje-dawna-partnerka-rzezniczaka-miala.html"
Grała małą Basię w 'M jak miłość'. Teraz ma 19 lat i zmieniła się nie do poznania,yapping,"Gabriela Raczyńska w wieku ośmiu lat dołączyła do jednego z kultowych seriali, w którym dała się poznać jako rezolutna Basia, co było dobrym ruchem w karierze aktorskiej. Na przesłuchanie do M jak mi","https://www.plotek.pl/plotek/7,154063,31552027,grala-osmioletnia-basie-w-m-jak-milosc-teraz-ma-19-lat-i.html"
"Paulla chciała targnąć się na swoje życie. Gdy zobaczyła syna, zdecydowała się sięgnąć po pomoc",yapping,"Coraz więcej gwiazd mówi głośno o tym, że chorują na depresję. W ten sposób starają się oswoić tę chorobę i zachęcić inne zmagające się z nią osoby, aby nie obawiały się zwracać po pomoc. O niełatwych","https://www.plotek.pl/plotek/7,154063,31552065,paulla-chciala-targnac-sie-na-swoje-zycie-dokladnie-pamieta.html"
Lewandowski 'przyłapany' w tle nagrań Anny. Jego mina hitem internetu,yapping,"Anna Lewandowska uwielbia, kiedy twarz jest rozświetlona za pomocą makijażu. Używa nie tylko kremu z drobinkami, ale także rozświetlającego bronzera. Poza kremami stawia na dobre kosmetyki kolorowe, k","https://www.plotek.pl/plotek/7,154063,31551504,lewandowska-prezentowala-fanom-glow-make-up-wtem-pojawil-sie.html"
Andrzej Piaseczny w ostatniej chwili odwołał koncerty. Fani załamani: Czekamy od sierpnia,yapping,Andrzej Piaseczny od lat aktywnie koncertuje i wciąż cieszy się dużą sympatią Polaków. W grudniu jeździ po całej Polsce ze świąteczną serią Jeszcze zanim Święta. Aura najwyraźniej mu nie sprzyja. We,"https://www.plotek.pl/plotek/7,154063,31551948,a-jednak-andrzej-piaseczny-w-ostatniej-chwili-odwolal-koncerty.html"
"Unika rozgłosu, media o niej milczą. Wagner słyszała, że nie dostaje ról przez wygląd",yapping,"Agnieszka Wagner rozpoczęła filmową karierę jeszcze w latach 80. jako nastolatka. Jej talentem i urodą cała Polska zachwyciła się zwłaszcza po filmie Pożegnanie z Marią z 1993 roku, w którym zagrała","https://www.plotek.pl/plotek/7,154063,31551538,unika-rozglosu-media-o-niej-milcza-wagner-slyszala-ze-nie.html"
Nie żyje gwiazda 'Przystanku Alaska'. Miała 67 lat,yapping,"Diane Delano miała imponującą filmografię, ale największą popularność przeniósł jej ukochany przez Polaków serial Przystanek Alaska, w którym wcielała się w postać twardej policjantki Barbary Semans","https://www.plotek.pl/plotek/7,154063,31551839,nie-zyje-diane-delano-polacy-pokochali-ja-za-role-w-popularnym.html"
Agnieszka Woźniak-Starak nie miała skrupułów. Zakaz? Zaparkowała i poszła na zakupy,yapping,"Coraz głośniej jest o tym, że niektóre gwiazdy świadomie na drogach łamią prawo, czując się niejako ponad nim. Wystarczy przypomnieć przypadek Klaudii El Dursi, która na autostradzie A2 sunęła pasem a","https://www.plotek.pl/plotek/7,154063,31551209,wozniak-starak-przylapana-na-lamaniu-przepisow-oj-nieladnie.html"
"Ekspertka ujawnia, co gwiazdy robią w gabinetach. Wylicza długą listę zabiegów u Lewej i Górniak",yapping,"Medycyna estetyczna staje się coraz powszechniejsza, a jej rozwój sprawia, że wykonania niektórych zabiegów niemal nie da się dostrzec okiem laika. Wiele osób wciąż ciekawi jednak, co robią celebrytki","https://www.plotek.pl/plotek/7,154063,31551167,ekspertka-widzi-ten-sam-zabieg-u-lewej-i-gorniak-a-u-dudy.html"
Pogrzeb Stanisława Tyma. Wśród żałobników Materna i Fedorowicz,yapping,"Aktor zmarł 6 grudnia, a smutna wiadomość wstrząsnęła polskim show-biznesem. Aktor miał 87 lat. Do ostatnich chwil pozostawał aktywny zawodowo. Niestety długotrwała choroba odcisnęła swoje piętno. Uro","https://www.plotek.pl/plotek/7,154063,31551080,tlum-gwiazd-na-pogrzebie-stanislawa-tyma-nie-spelniono-ostatniej.html"
Baba od polskiego o imieniu syna Hakiela. Nietypowe? Mało powiedziane [PLOTEK EXCLUSIVE],yapping,"Marcin Hakiel i jego ukochana Dominika Serowska 4 grudnia pochwalili się w mediach społecznościowych, że na świat przyszedł ich syn. Para nie podała wówczas, jakie imię wybrała dla chłopca. Pod fotogr","https://www.plotek.pl/plotek/7,154063,31550893,syn-hakielow-ma-nietypowe-imie-w-tym-roku-dostalo-je-tylko.html"
Szokujące wyznanie Igora Herbuta. 'Gaśnie we mnie ta iskra',yapping,"Igor Herbut urodził się 17 grudnia i z racji urodzin podsumował pewien okres w życiu w social mediach. Jego wpis nie należy do typowych, jakie gwiazdy mają w zwyczaju prezentować na urodziny. Muzyk do","https://www.plotek.pl/plotek/7,154063,31550990,szokujace-wyznanie-igora-herbuta-gasnie-we-mnie-ta-iskra.html"
Górniak kolędowała ze Steczkowską i wyszła z niej diwa. Gwiazdy zniesmaczone,yapping,"Jak co roku polskie gwiazdy wyjechały do USA, by wziąć udział w koncercie kolęd i wystąpić przed Polonią. Do sieci wyciekł fragment nagrania z wydarzenia. W oczy od razu rzuca się zachowanie Edyty Gór","https://www.plotek.pl/plotek/7,154063,31550784,zenujace-zachowanie-edyty-gorniak-wszystko-sie-nagralo.html"
