headline,category,url
Burza wokół programu Sablewskiej. Doda ma teorię. 'Ktoś robi to za nią!',yapping,"https://www.plotek.pl/plotek/7,154063,31552487,widzowie-psiocza-na-metamorfozy-z-programu-sablewskiej-doda.html"
Jakub Rzeźniczak poruszony śmiercią byłej partnerki. Dodał wpis,yapping,"https://www.plotek.pl/plotek/7,154063,31552875,jakub-rzezniczak-poruszony-smiercia-bylej-partnerki-zlozyl.html"
Sandra Kubicka nie zamierzała tego ukrywać. 'Pękające serce z tęsknoty...',yapping,"https://www.plotek.pl/plotek/7,154063,31552507,sandra-kubicka-nie-zamierza-tego-ukrywac-pekajace-serce-z.html"
"Wprost zapytali Rozenek, ile przeszła operacji plastycznych, a tu... zonk. Ten wywiad to hit!",yapping,"https://www.plotek.pl/plotek/7,154063,31552236,wprost-zapytali-rozenek-ile-przeszla-operacji-plastycznych.html"
Ewelina Ślotała nie żyje. Dawna partnerka Rzeźniczaka miała 35 lat,yapping,"https://www.plotek.pl/plotek/7,154063,31552532,ewelina-slotala-nie-zyje-dawna-partnerka-rzezniczaka-miala.html"
Grała małą Basię w 'M jak miłość'. Teraz ma 19 lat i zmieniła się nie do poznania,yapping,"https://www.plotek.pl/plotek/7,154063,31552027,grala-osmioletnia-basie-w-m-jak-milosc-teraz-ma-19-lat-i.html"
"Paulla chciała targnąć się na swoje życie. Gdy zobaczyła syna, zdecydowała się sięgnąć po pomoc",yapping,"https://www.plotek.pl/plotek/7,154063,31552065,paulla-chciala-targnac-sie-na-swoje-zycie-dokladnie-pamieta.html"
Lewandowski 'przyłapany' w tle nagrań Anny. Jego mina hitem internetu,yapping,"https://www.plotek.pl/plotek/7,154063,31551504,lewandowska-prezentowala-fanom-glow-make-up-wtem-pojawil-sie.html"
Andrzej Piaseczny w ostatniej chwili odwołał koncerty. Fani załamani: Czekamy od sierpnia,yapping,"https://www.plotek.pl/plotek/7,154063,31551948,a-jednak-andrzej-piaseczny-w-ostatniej-chwili-odwolal-koncerty.html"
"Unika rozgłosu, media o niej milczą. Wagner słyszała, że nie dostaje ról przez wygląd",yapping,"https://www.plotek.pl/plotek/7,154063,31551538,unika-rozglosu-media-o-niej-milcza-wagner-slyszala-ze-nie.html"
Nie żyje gwiazda 'Przystanku Alaska'. Miała 67 lat,yapping,"https://www.plotek.pl/plotek/7,154063,31551839,nie-zyje-diane-delano-polacy-pokochali-ja-za-role-w-popularnym.html"
Agnieszka Woźniak-Starak nie miała skrupułów. Zakaz? Zaparkowała i poszła na zakupy,yapping,"https://www.plotek.pl/plotek/7,154063,31551209,wozniak-starak-przylapana-na-lamaniu-przepisow-oj-nieladnie.html"
"Ekspertka ujawnia, co gwiazdy robią w gabinetach. Wylicza długą listę zabiegów u Lewej i Górniak",yapping,"https://www.plotek.pl/plotek/7,154063,31551167,ekspertka-widzi-ten-sam-zabieg-u-lewej-i-gorniak-a-u-dudy.html"
Pogrzeb Stanisława Tyma. Wśród żałobników Materna i Fedorowicz,yapping,"https://www.plotek.pl/plotek/7,154063,31551080,tlum-gwiazd-na-pogrzebie-stanislawa-tyma-nie-spelniono-ostatniej.html"
Baba od polskiego o imieniu syna Hakiela. Nietypowe? Mało powiedziane [PLOTEK EXCLUSIVE],yapping,"https://www.plotek.pl/plotek/7,154063,31550893,syn-hakielow-ma-nietypowe-imie-w-tym-roku-dostalo-je-tylko.html"
Szokujące wyznanie Igora Herbuta. 'Gaśnie we mnie ta iskra',yapping,"https://www.plotek.pl/plotek/7,154063,31550990,szokujace-wyznanie-igora-herbuta-gasnie-we-mnie-ta-iskra.html"
Górniak kolędowała ze Steczkowską i wyszła z niej diwa. Gwiazdy zniesmaczone,yapping,"https://www.plotek.pl/plotek/7,154063,31550784,zenujace-zachowanie-edyty-gorniak-wszystko-sie-nagralo.html"
"Tragedia Joanny Moro, pieniądze przepadły. 'Budzisz się niemal bez niczego'",yapping,"https://www.plotek.pl/plotek/7,154063,31550856,tragedia-joanny-moro-pieniadze-przepadly-budzisz-sie-niemal.html"
Chorosińska pogratulowała Nowakowskiej. Prezenterkę trafił szlag,yapping,"https://www.plotek.pl/plotek/7,154063,31550781,chorosinska-gratuluje-nowakowskiej-ciazy-prezenterka-sie.html"
"Agata Duda organizuje konkurs. Hola, hola, rodacy. Trzeba spełnić dwa warunki",yapping,"https://www.plotek.pl/plotek/7,154063,31550444,agata-duda-organizuje-konkurs-chcecie-sie-zglosic-hola-hola.html"
"Przykre wieści na temat dzieci Barbary Sienkiewicz. Posłanka ujawniła, jak spędzą święta",yapping,"https://www.plotek.pl/plotek/7,154063,31550454,smutne-wiesci-na-temat-dzieci-barbary-sienkiewicz-tak-spedza.html"
Katarzyna Cichopek świętuje 11. urodziny córki. Na tort nie poskąpiła,yapping,"https://www.plotek.pl/plotek/7,154063,31550511,katarzyna-cichopek-swietuje-nastoletniosc-corki-tort-robi-wrazenie.html"
Internauci grzmią o krzywdzie syna Hakiela. Dominika zamknęła usta krytykom,yapping,"https://www.plotek.pl/plotek/7,154063,31550241,internauci-grzmia-o-krzywdzie-syna-hakiela-dominika-zamknela.html"
Sawicka z powrotem mieszka u byłego męża. Mówi o ustalonych warunkach,yapping,"https://www.plotek.pl/plotek/7,154063,31550032,dlaczego-sawicka-znow-zamieszkala-z-bylym-postanowila-wyjasnic.html"
Aktywista LGBT+ wygrał w sądzie z TVP. Doczekał się długich przeprosin,yapping,"https://www.plotek.pl/plotek/7,154063,31550275,aktywista-lgbt-wygral-w-sadzie-z-tvp-doczekal-sie-dlugich.html"
Maja Hyży zmaga się z koszmarnym bólem. To nie koniec problemów po wyjściu ze szpitala,yapping,"https://www.plotek.pl/plotek/7,154063,31550099,maja-hyzy-zmaga-sie-z-koszmarnym-bolem-to-nie-koniec-problemow.html"
To będzie hit! Doda współpracuje z byłymi partnerami. Obnażą całą prawdę,yapping,"https://www.plotek.pl/plotek/7,154063,31549464,doda-kreci-dokument-o-sobie-w-ktory-zaangazowala-eks-chcialam.html"
Dorota Wellman z zaskakującym wyznaniem. Jest gotowa na najgorsze,yapping,"https://www.plotek.pl/plotek/7,154063,31549733,szokujace-slowa-doroty-wellman-jest-gotowa-na-najgorsze.html"
"Erotyczne opowiadania o Trzaskowskim. Po nich oczu kąpiel. 'Przejechałam dłonią po jego mięśniach brzucha, a on...'",yapping,"https://www.plotek.pl/plotek/7,154063,31548148,erotyczne-opowiadania-o-trzaskowskim-a-po-nich-oczu-kapiel.html"
