headline,category,url
Ta herbata postawi cię na nogi. W dodatku kosztuje grosze!,zdrowie,https://kobieta.onet.pl/zdrowie/ta-herbata-postawi-cie-na-nogi-w-dodatku-kosztuje-grosze/f5xjwgw
Grecy tę herbatę piją codziennie. Dzięki temu rzadziej chorują na Alzheimera,zdrowie,https://kobieta.onet.pl/zdrowie/picie-tego-ziola-przeciwdziala-powstawaniu-zmarszczek-jest-tanie-i-latwo-dostepne/72sq4w7
Oto wysokość średniej emerytury w Polsce. ZUS podał dane,zdrowie,https://kobieta.onet.pl/zdrowie/wiadomosci/oto-wysokosc-sredniej-emerytury-w-polsce-zus-podal-dane/h4t5wv9
Poduszka masująca to najlepsza inwestycja w zdrowie — pomaga na chroniczny ból. Tańsza niż wizyty u masażysty,zdrowie,https://kobieta.onet.pl/zdrowie/poduszka-masujaca-to-najlepsza-inwestycja-w-zdrowie-pomaga-na-chroniczny-bol-tansza/4xj4nmc
"Prof. Religa przekonał matkę, by oddała jego zwłoki. Po raz pierwszy użyli ""protokołu śmierci""",zdrowie,https://kobieta.onet.pl/zdrowie/prof-religa-przekonal-ja-by-oddala-zwloki-uzyli-protokolu-smierci/4wvfjwr
Ten masażer do rąk to cudo na bóle stawów i pospinane nadgarstki. Zapewnia błogi relaks,zdrowie,https://kobieta.onet.pl/zdrowie/ten-masazer-do-rak-to-cudo-na-bole-stawow-i-pospinane-nadarstki-zapewnia-blogi-relaks/l5zkp6d
"Czujesz się ciągle zmęczona? Oto cztery porady, które mogą pomóc",zdrowie,https://kobieta.onet.pl/zdrowie/przyczyny-przewleklego-zmeczenia-tak-mozna-sobie-z-nim-poradzic/z0k6xnz
"Schabowy czy drożdżówka? Zgadnij, co ma więcej kalorii",zdrowie,https://kobieta.onet.pl/zdrowie/fitness/schabowy-czy-drozdzowka-zgadnij-co-ma-wiecej-kalorii/ybn2ff1
Układ ciała ma duże znaczenie. Tak najlepiej przyjmować tabletki,zdrowie,https://kobieta.onet.pl/zdrowie/na-siedzaco-czy-stojac-najlepsza-pozycja-do-przyjmowania-lekow-zaskakuje/s37156h
"W tych miejscach zbieraj grzybów, bo możesz za to słono zapłacić. Nie chodzi wcale o parki narodowe",zdrowie,https://kobieta.onet.pl/zdrowie/zycie-i-zdrowie/w-tych-miejscach-zbieraj-grzybow-nie-chodzi-wcale-o-parki-narodowe/7r8dr8d
"Ten borowik jest marzeniem grzybiarzy. Wymaga odpowiedniej obróbki, inaczej jest trujący",zdrowie,https://kobieta.onet.pl/zdrowie/ten-borowik-to-marzenie-grzybiarzy-wymaga-obrobki-inaczej-jest-trujacy/kt1dfth
Taka dieta wyhamuje starzenie. To powinno się jeść w kolejnych dekadach życia,zdrowie,https://kobieta.onet.pl/zdrowie/taka-dieta-wyhamuje-starzenie-to-powinno-sie-jesc-w-kolejnych-dekadach-zycia/pnh7he7
Kłopoty płockiego Caritasu. Miliony do zwrotu,zdrowie,https://kobieta.onet.pl/zdrowie/wiadomosci/caritas-w-plocku-na-krawedzi-bankructwa-ponad-18-mln-zl-do-zwrotu-dla-pfron/z1dmkry
"Jarosław Kaczyński na kongresie w Przysusze. ""Opiłowywanie katolików""",zdrowie,https://kobieta.onet.pl/zdrowie/wiadomosci/jaroslaw-kaczynski-na-kongresie-w-przysusze-opilowywanie-katolikow/xfhq33q
"Idealny napój na jesień. Działa lepiej niż kawa, a przepis jest banalnie prosty",zdrowie,https://kobieta.onet.pl/zdrowie/idealny-napoj-na-jesien-dziala-lepiej-niz-kawa-a-przepis-jest-banalnie-prosty/syer5wv
Ekstrakt z tej rośliny pomaga usunąć tłuszcz z brzucha. Efekt widoczny nawet bez ćwiczeń,zdrowie,https://kobieta.onet.pl/zdrowie/ekstrakt-z-tej-rosliny-pomaga-usunac-tluszcz-z-brzucha-efekt-bez-cwiczen/1ffl8dd
Działa lepiej niż zwykła kawa. Szybko stawia na nogi i odżywia organizm,zdrowie,https://kobieta.onet.pl/zdrowie/dziala-lepiej-niz-zwykla-kawa-szybko-stawia-na-nogi-i-odzywia-organizm/7z3z2gv
"Dieta Okinawy, DASH, MIND i inne najzdrowsze diety świata",zdrowie,https://kobieta.onet.pl/zdrowie/profilaktyka/dieta/dieta-z-okinawy-dash-mind-i-inne-najzdrowsze-diety-swiata/m1eepqz
Jak pokonać chorobę lokomocyjną? Zaskakujące przyczyny i skuteczne rozwiązania!,zdrowie,https://kobieta.onet.pl/zdrowie/jak-pokonac-chorobe-lokomocyjna-zaskakujace-przyczyny-i-rozwiazania/5w4567
"Majtki menstruacyjne zapewnią ci komfort, dyskrecję i ochronę",zdrowie,https://kobieta.onet.pl/zdrowie/majtki-menstruacyjne-zapewnia-ci-komfort-dyskrecje-i-ochrone/bhj7bnt
"""Dookoła giną ludzie, wszystko się pali, a on pomyślał o kwiatach dla ciebie""",zdrowie,https://kobieta.onet.pl/zdrowie/wiadomosci/powstancza-milosc-dookola-gina-ludzie-a-on-pomyslal-o-kwiatach-dla-ciebie/cm0qybb
"Pięć produktów spożywczych, które uchronią cię przed jesiennym przeziębieniem",zdrowie,https://kobieta.onet.pl/zdrowie/profilaktyka/dieta/piec-produktow-spozywczych-ktore-uchronia-cie-przed-przeziebieniem/nfwf2t2
"Masz grupę krwi A? Sprawdź, co mówi o twoim charakterze",zdrowie,https://kobieta.onet.pl/zdrowie/ludzie-z-grupa-krwi-a-co-ich-wyroznia-w-spoleczenstwie/zysmq7q
"""W ten sposób możecie zabić mojego psa. Ludzie, opamiętajcie się!"" [LIST]",zdrowie,https://kobieta.onet.pl/zdrowie/wiadomosci/w-ten-sposob-mozecie-zabic-mojego-psa-ludzie-opamietajcie-sie-list/qm4hvf8
"Błędy, jakie popełniamy, pijąc codzienną kawę. Zamiast energii jesteśmy senni",zdrowie,https://kobieta.onet.pl/zdrowie/wiadomosci/jak-pic-kawe-kiedy-te-bledy-popelniamy-codziennie-siegajac-po-kawe/j95b4v3
