headline,category,url
"Śpisz przy kaloryferze? Zmęczenie, bóle głowy i drapanie w gardle to tylko część problemów",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-spisz-przy-kaloryferze-zmeczenie-bole-glowy-i-drapanie-w-gar,nId,7876207"
Zespół przewlekłego zmęczenia to nie objaw a choroba. Lekarka: dotyczy osób w każdym wieku,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-zespol-przewleklego-zmeczenia-to-nie-objaw-a-choroba-lekarka,nId,7874996"
Przenoszą się ekstremalnie łatwo i szybko. Na wirusy jesteśmy narażeni aż do śmierci,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-przenosza-sie-ekstremalnie-latwo-i-szybko-na-wirusy-jestesmy,nId,7854521"
"Niebezpieczne trutki na gryzonie. Jakie objawy są alarmujące, jak uchronić się przed zatruciem?",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-niebezpieczne-trutki-na-gryzonie-jakie-objawy-sa-alarmujace-,nId,7854061"
"Miej w kubku, rób wieczorem. Trzy jesienne rytuały, które wyjdą ci na zdrowie",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-miej-w-kubku-rob-wieczorem-trzy-jesienne-rytualy-ktore-wyjda,nId,7838543"
"Choroba wpływa na psychikę, a psychika na chorobę. Tak działa błędne koło łuszczycy",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-choroba-wplywa-na-psychike-a-psychika-na-chorobe-tak-dziala-,nId,7845018"
Warto postawić koło łóżka w sypialni. Jak działa i co daje lampa solna?,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-warto-postawic-kolo-lozka-w-sypialni-jak-dziala-i-co-daje-la,nId,7823684"
Niedobór zwiększa ryzyko cukrzycy i miażdżycy. Objawem apetyt na słodkie,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-niedobor-zwieksza-ryzyko-cukrzycy-i-miazdzycy-objawem-apetyt,nId,7826794"
"Jak sprawdzić, czy masz dość kolagenu? Po pięćdziesiątce warto zrobić jedno",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-jak-sprawdzic-czy-masz-dosc-kolagenu-po-piecdziesiatce-warto,nId,7781436"
Co skutecznie oczyszcza zatoki? Domowa metoda zmniejszy ból i ułatwi oddech,zdrowie,"https://zdrowie.interia.pl/zdrowie/uklad-oddechowy/news-co-skutecznie-oczyszcza-zatoki-domowa-metoda-zmniejszy-bol-i,nId,7780084"
"Pocisz się przy jedzeniu? To nie zmęczenie, przyczyn może być kilka",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-pocisz-sie-przy-jedzeniu-to-nie-zmeczenie-przyczyn-moze-byc-,nId,7764919"
Co może oznaczać mrowienie ręki lub nogi w nocy? To niekoniecznie wina złej pozycji podczas snu,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-co-moze-oznaczac-mrowienie-reki-lub-nogi-w-nocy-to-niekoniec,nId,7765549"
"Nie pomaga sen, leniwy weekend ani urlop? Organizm wysyła ważny sygnał",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-nie-pomaga-sen-leniwy-weekend-ani-urlop-organizm-wysyla-wazn,nId,7600703"
Znalazłeś w lodówce spleśniałe jedzenie? Oto co naprawdę musisz zrobić,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-znalazles-w-lodowce-splesniale-jedzenie-oto-co-naprawde-musi,nId,7701363"
Nieoczywista przyczyna i objawy anemii. Wcale nie chodzi o poziom żelaza,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-nieoczywista-przyczyna-i-objawy-anemii-wcale-nie-chodzi-o-po,nId,7631567"
"Witamina D, lepszy nastrój, ulga dla stawów. Co jeszcze daje nam słońce?",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-witamina-d-lepszy-nastroj-ulga-dla-stawow-co-jeszcze-daje-na,nId,7596264"
Likwiduje drugi podbródek i wysmukla owal twarzy. Japoński masaż twarzy to hit na zmarszczki,zdrowie,"https://zdrowie.interia.pl/badania/terapie/news-likwiduje-drugi-podbrodek-i-wysmukla-owal-twarzy-japonski-ma,nId,6369584"
Reumatolog: to choroba osób z niedoborem witaminy D3 i wapnia. Dziś Światowy Dzień Chorych na Osteoporozę,zdrowie,"https://zdrowie.interia.pl/zdrowie/miesnie-kosci-stawy/news-reumatolog-to-choroba-osob-z-niedoborem-witaminy-d3-i-wapnia,nId,7591018"
"Dla oczu, serca i psychiki. Pięć powodów, dla których warto odpoczywać wśród natury",zdrowie,"https://zdrowie.interia.pl/zdrowie/news-dla-oczu-serca-i-psychiki-piec-powodow-dla-ktorych-warto-odp,nId,7538818"
Od tego warto zaczynać dzień. Zrób jeszcze przed śniadaniem,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-od-tego-warto-zaczynac-dzien-zrob-jeszcze-przed-sniadaniem,nId,7538902"
Dieta trzustkowa da ulgę po chorobie. Co jeść po zapaleniu trzustki?,zdrowie,"https://zdrowie.interia.pl/diety/news-dieta-trzustkowa-da-ulge-po-chorobie-co-jesc-po-zapaleniu-tr,nId,7495753"
W Polsce nawet trzy miliony kobiet czeka na diagnozę. Objawy endometriozy bywają ignorowane,zdrowie,"https://zdrowie.interia.pl/zdrowie/news-w-polsce-nawet-trzy-miliony-kobiet-czeka-na-diagnoze-objawy-,nId,7493665"
